 E              SP        Sig       dE     dN        SP1           Ions
 Various data to calculate stopping power for input of 1 ion/cm^2/s.
 Conversion from [eV*cm^2] to [(MeV/mg)*cm^2] is 3.345e-15.
 Ion Energy     dE/dN     Sigma       dE     dN        Sigma*dE      Counts
 [keV/u]        [eV*cm^2] [cm^2]      [eV]   [cm^-2]   [eV*cm^2]    per bin
     1.50       3.59E-18  2.93E-16    38.48  5.11E+15  1.13E-14     6499056
     2.50       6.49E-18  3.68E-16    38.42  3.61E+15  1.41E-14     6508062
     3.50       1.27E-17  4.63E-16    38.35  2.75E+15  1.77E-14     6515530
     4.50       9.09E-18  5.66E-16    38.44  2.27E+15  2.17E-14     6511799
     5.50       1.26E-17  6.70E-16    38.62  1.98E+15  2.59E-14     6500165
     6.50       1.51E-17  7.69E-16    39.17  1.80E+15  3.01E-14     6422006
     7.50       1.74E-17  8.57E-16    39.70  1.69E+15  3.40E-14     6363015
     8.50       2.25E-17  9.29E-16    39.87  1.62E+15  3.71E-14     6357041
     9.50       2.26E-17  9.85E-16    39.08  1.57E+15  3.85E-14     6459762
    10.50       1.90E-17  1.02E-15    39.18  1.56E+15  3.99E-14     6410615
    11.50       2.36E-17  1.03E-15    40.55  1.56E+15  4.19E-14     6194672
    12.50       2.22E-17  1.04E-15    42.00  1.57E+15  4.36E-14     5981724
    13.50       2.40E-17  1.04E-15    43.44  1.57E+15  4.52E-14     5782642
    14.50       2.93E-17  1.04E-15    44.89  1.56E+15  4.66E-14     5596213
    15.50       2.45E-17  1.03E-15    46.39  1.56E+15  4.79E-14     5415923
    16.50       3.47E-17  1.03E-15    47.84  1.55E+15  4.91E-14     5251783
    17.50       3.04E-17  1.02E-15    49.33  1.54E+15  5.03E-14     5092505
    18.50       3.32E-17  1.01E-15    50.79  1.53E+15  5.14E-14     4947758
    19.50       3.89E-17  1.00E-15    52.25  1.53E+15  5.25E-14     4808248
    20.50       3.46E-17  9.97E-16    53.76  1.52E+15  5.36E-14     4673252
    21.50       5.25E-17  9.90E-16    55.21  1.51E+15  5.46E-14     4551198
    22.50       3.42E-17  9.85E-16    56.68  1.50E+15  5.58E-14     4433033
    23.50       6.24E-17  9.79E-16    58.07  1.49E+15  5.69E-14     4327145
    24.50       4.06E-17  9.74E-16    59.52  1.48E+15  5.80E-14     4221640
    25.50       4.47E-17  9.71E-16    60.91  1.47E+15  5.91E-14     4125718
    26.50       7.53E-17  9.66E-16    62.30  1.45E+15  6.02E-14     4033324
    27.50       4.41E-17  9.63E-16    63.68  1.44E+15  6.14E-14     3946239
    28.50       4.61E-17  9.61E-16    65.01  1.43E+15  6.25E-14     3865344
    29.50       5.34E-17  9.60E-16    66.32  1.42E+15  6.37E-14     3789111
    30.50       5.17E-17  9.58E-16    67.58  1.41E+15  6.47E-14     3718928
    31.50       5.03E-17  9.58E-16    68.88  1.40E+15  6.60E-14     3648139
    32.50       6.95E-17  9.59E-16    70.14  1.39E+15  6.73E-14     3583405
    33.50       5.51E-17  9.60E-16    71.29  1.38E+15  6.84E-14     3525123
    34.50       7.24E-17  9.62E-16    72.46  1.37E+15  6.97E-14     3468349
    35.50       5.80E-17  9.63E-16    73.61  1.35E+15  7.09E-14     3414059
    36.50       5.20E-17  9.67E-16    74.80  1.34E+15  7.23E-14     3359739
    37.50       7.94E-17  9.71E-16    75.83  1.33E+15  7.36E-14     3313926
    38.50       6.17E-17  9.75E-16    76.95  1.32E+15  7.50E-14     3265886
    39.50       7.79E-17  9.79E-16    77.90  1.31E+15  7.63E-14     3226183
    40.50       7.84E-17  9.84E-16    78.88  1.30E+15  7.76E-14     3186272
    41.50       7.10E-17  9.90E-16    79.92  1.29E+15  7.91E-14     3144963
    42.50       1.09E-16  9.95E-16    80.87  1.27E+15  8.05E-14     3107702
    43.50       7.24E-17  1.00E-15    81.65  1.26E+15  8.18E-14     3077981
    44.50       1.07E-16  1.01E-15    82.54  1.25E+15  8.33E-14     3044673
    45.50       1.10E-16  1.02E-15    83.34  1.24E+15  8.48E-14     3016102
    46.50       8.64E-17  1.02E-15    84.16  1.23E+15  8.62E-14     2986767
    47.50       7.47E-17  1.03E-15    84.99  1.22E+15  8.78E-14     2957112
    48.50       1.08E-16  1.04E-15    85.71  1.20E+15  8.92E-14     2932732
    49.50       7.49E-17  1.05E-15    86.35  1.20E+15  9.05E-14     2910521
    50.50       1.02E-16  1.06E-15    87.19  1.19E+15  9.21E-14     2882580
    51.50       8.93E-17  1.06E-15    87.85  1.18E+15  9.33E-14     2861043
    52.50       9.82E-17  1.07E-15    88.60  1.17E+15  9.48E-14     2836803
    53.50       8.53E-17  1.08E-15    89.26  1.16E+15  9.61E-14     2816340
    54.50       9.96E-17  1.08E-15    89.86  1.15E+15  9.74E-14     2796947
    55.50       9.67E-17  1.09E-15    90.47  1.14E+15  9.86E-14     2778115
