 E              SP        Sig       dE     dN        SP1           Ions
 Various data to calculate stopping power for input of 1 ion/cm^2/s.
 Conversion from [eV*cm^2] to [(MeV/mg)*cm^2] is 3.345e-15.
 Ion Energy     dE/dN     Sigma       dE     dN        Sigma*dE      Counts
 [keV/u]        [eV*cm^2] [cm^2]      [eV]   [cm^-2]   [eV*cm^2]    per bin
     1.50       3.48E-18  2.92E-16    38.45  5.10E+15  1.12E-14     6504499
     2.50       6.15E-18  3.68E-16    38.37  3.61E+15  1.41E-14     6513726
     3.50       7.12E-18  4.63E-16    38.34  2.75E+15  1.77E-14     6522011
     4.50       1.25E-17  5.66E-16    38.37  2.27E+15  2.17E-14     6517373
     5.50       1.24E-17  6.70E-16    38.63  1.98E+15  2.59E-14     6489309
     6.50       1.41E-17  7.69E-16    39.15  1.80E+15  3.01E-14     6425267
     7.50       1.55E-17  8.57E-16    39.61  1.69E+15  3.39E-14     6376652
     8.50       2.42E-17  9.30E-16    39.83  1.62E+15  3.70E-14     6358366
     9.50       1.94E-17  9.85E-16    39.07  1.57E+15  3.85E-14     6459029
    10.50       1.98E-17  1.02E-15    39.18  1.56E+15  3.99E-14     6409000
    11.50       3.71E-17  1.03E-15    40.58  1.56E+15  4.19E-14     6189146
    12.50       2.08E-17  1.04E-15    41.99  1.57E+15  4.36E-14     5981437
    13.50       2.34E-17  1.04E-15    43.44  1.57E+15  4.52E-14     5781215
    14.50       2.31E-17  1.04E-15    44.88  1.56E+15  4.66E-14     5596693
    15.50       2.77E-17  1.03E-15    46.37  1.56E+15  4.79E-14     5417133
    16.50       2.83E-17  1.03E-15    47.84  1.55E+15  4.91E-14     5250139
    17.50       3.12E-17  1.02E-15    49.35  1.54E+15  5.03E-14     5089471
    18.50       3.76E-17  1.01E-15    50.81  1.53E+15  5.14E-14     4943188
    19.50       3.42E-17  1.00E-15    52.30  1.53E+15  5.25E-14     4802964
    20.50       3.73E-17  9.97E-16    53.72  1.52E+15  5.36E-14     4675738
    21.50       4.24E-17  9.91E-16    55.21  1.51E+15  5.47E-14     4549657
    22.50       5.84E-17  9.84E-16    56.63  1.50E+15  5.57E-14     4435767
    23.50       4.01E-17  9.79E-16    58.07  1.49E+15  5.68E-14     4326185
    24.50       3.66E-17  9.73E-16    59.48  1.47E+15  5.79E-14     4223421
    25.50       3.92E-17  9.69E-16    60.93  1.46E+15  5.91E-14     4122883
    26.50       4.26E-17  9.66E-16    62.32  1.46E+15  6.02E-14     4031069
    27.50       4.55E-17  9.64E-16    63.71  1.44E+15  6.14E-14     3943408
    28.50       4.11E-17  9.61E-16    65.03  1.43E+15  6.25E-14     3863339
    29.50       4.69E-17  9.59E-16    66.34  1.42E+15  6.36E-14     3786571
    30.50       4.66E-17  9.59E-16    67.57  1.41E+15  6.48E-14     3718401
    31.50       4.86E-17  9.59E-16    68.88  1.40E+15  6.61E-14     3647761
    32.50       7.89E-17  9.59E-16    70.11  1.39E+15  6.73E-14     3583256
    33.50       4.81E-17  9.60E-16    71.35  1.38E+15  6.85E-14     3521407
    34.50       7.86E-17  9.62E-16    72.52  1.36E+15  6.97E-14     3464805
    35.50       6.29E-17  9.65E-16    73.58  1.35E+15  7.10E-14     3414535
    36.50       6.53E-17  9.67E-16    74.79  1.34E+15  7.23E-14     3358891
    37.50       5.77E-17  9.70E-16    75.82  1.33E+15  7.36E-14     3313751
    38.50       1.01E-16  9.74E-16    76.98  1.32E+15  7.50E-14     3264077
    39.50       1.59E-16  9.79E-16    77.99  1.31E+15  7.64E-14     3221966
    40.50       6.06E-17  9.84E-16    78.88  1.30E+15  7.76E-14     3185542
    41.50       6.72E-17  9.88E-16    79.94  1.29E+15  7.90E-14     3143145
    42.50       8.14E-17  9.95E-16    80.79  1.27E+15  8.04E-14     3110143
    43.50       7.96E-17  1.00E-15    81.66  1.26E+15  8.18E-14     3076573
    44.50       7.61E-17  1.01E-15    82.55  1.25E+15  8.33E-14     3043919
    45.50       8.14E-17  1.02E-15    83.34  1.24E+15  8.47E-14     3015360
    46.50       7.69E-17  1.02E-15    84.18  1.23E+15  8.62E-14     2984791
    47.50       9.66E-17  1.03E-15    84.95  1.22E+15  8.76E-14     2957968
    48.50       7.18E-17  1.04E-15    85.63  1.21E+15  8.91E-14     2934106
    49.50       1.31E-16  1.05E-15    86.43  1.20E+15  9.07E-14     2907454
    50.50       7.65E-17  1.06E-15    87.09  1.18E+15  9.20E-14     2884881
    51.50       8.03E-17  1.06E-15    87.83  1.18E+15  9.34E-14     2860909
    52.50       8.74E-17  1.07E-15    88.51  1.17E+15  9.46E-14     2839024
    53.50       8.98E-17  1.08E-15    89.29  1.16E+15  9.62E-14     2814183
    54.50       1.07E-16  1.08E-15    89.82  1.15E+15  9.74E-14     2797345
    55.50       9.54E-17  1.09E-15    90.57  1.14E+15  9.89E-14     2774457
