 E              SP        Sig       dE     dN        SP1           Ions
 Various data to calculate stopping power for input of 1 ion/cm^2/s.
 Conversion from [eV*cm^2] to [(MeV/mg)*cm^2] is 3.345e-15.
 Ion Energy     dE/dN     Sigma       dE     dN        Sigma*dE      Counts
 [keV/u]        [eV*cm^2] [cm^2]      [eV]   [cm^-2]   [eV*cm^2]    per bin
     1.50       3.62E-18  2.93E-16    38.50  5.10E+15  1.13E-14     6494148
     2.50       5.43E-18  3.68E-16    38.35  3.61E+15  1.41E-14     6508414
     3.50       9.31E-18  4.63E-16    38.34  2.75E+15  1.77E-14     6512164
     4.50       9.66E-18  5.66E-16    38.43  2.27E+15  2.17E-14     6520624
     5.50       1.97E-17  6.70E-16    38.53  1.98E+15  2.58E-14     6489563
     6.50       2.05E-17  7.69E-16    39.14  1.80E+15  3.01E-14     6418379
     7.50       2.39E-17  8.57E-16    39.60  1.69E+15  3.39E-14     6381229
     8.50       1.71E-17  9.29E-16    39.77  1.62E+15  3.70E-14     6355597
     9.50       1.98E-17  9.85E-16    39.09  1.57E+15  3.85E-14     6452321
    10.50       2.38E-17  1.02E-15    39.19  1.56E+15  3.99E-14     6402963
    11.50       2.50E-17  1.03E-15    40.55  1.57E+15  4.18E-14     6189067
    12.50       2.08E-17  1.04E-15    41.96  1.57E+15  4.36E-14     5979427
    13.50       2.46E-17  1.04E-15    43.43  1.57E+15  4.51E-14     5778569
    14.50       3.03E-17  1.04E-15    44.89  1.56E+15  4.66E-14     5591168
    15.50       2.38E-17  1.03E-15    46.37  1.56E+15  4.79E-14     5411288
    16.50       2.40E-17  1.03E-15    47.87  1.55E+15  4.92E-14     5242574
    17.50       3.79E-17  1.02E-15    49.31  1.54E+15  5.02E-14     5089699
    18.50       2.79E-17  1.01E-15    50.79  1.54E+15  5.14E-14     4942084
    19.50       4.27E-17  1.00E-15    52.28  1.52E+15  5.25E-14     4800719
    20.50       3.33E-17  9.98E-16    53.72  1.52E+15  5.36E-14     4671985
    21.50       3.49E-17  9.90E-16    55.15  1.50E+15  5.46E-14     4550335
    22.50       4.16E-17  9.84E-16    56.66  1.50E+15  5.58E-14     4430612
    23.50       3.52E-17  9.78E-16    58.08  1.48E+15  5.68E-14     4321178
    24.50       3.64E-17  9.74E-16    59.50  1.48E+15  5.80E-14     4219047
    25.50       4.03E-17  9.69E-16    60.94  1.46E+15  5.91E-14     4118648
    26.50       4.15E-17  9.67E-16    62.29  1.46E+15  6.02E-14     4030013
    27.50       7.02E-17  9.64E-16    63.69  1.44E+15  6.14E-14     3941569
    28.50       4.44E-17  9.62E-16    65.06  1.43E+15  6.26E-14     3858084
    29.50       4.68E-17  9.59E-16    66.30  1.42E+15  6.36E-14     3786221
    30.50       4.89E-17  9.59E-16    67.63  1.41E+15  6.49E-14     3711957
    31.50       5.83E-17  9.59E-16    68.81  1.40E+15  6.60E-14     3648242
    32.50       5.29E-17  9.59E-16    70.11  1.39E+15  6.73E-14     3580327
    33.50       5.77E-17  9.60E-16    71.32  1.38E+15  6.85E-14     3520108
    34.50       5.72E-17  9.61E-16    72.50  1.37E+15  6.97E-14     3462535
    35.50       5.65E-17  9.64E-16    73.62  1.35E+15  7.10E-14     3410180
    36.50       6.39E-17  9.67E-16    74.78  1.34E+15  7.23E-14     3357254
    37.50       6.97E-17  9.70E-16    75.89  1.33E+15  7.36E-14     3308029
    38.50       6.99E-17  9.76E-16    76.90  1.32E+15  7.50E-14     3264835
    39.50       5.66E-17  9.79E-16    77.99  1.31E+15  7.64E-14     3219145
    40.50       6.08E-17  9.84E-16    78.89  1.30E+15  7.76E-14     3182414
    41.50       6.48E-17  9.89E-16    79.96  1.29E+15  7.91E-14     3139983
    42.50       8.18E-17  9.95E-16    80.79  1.27E+15  8.04E-14     3107725
    43.50       6.96E-17  1.00E-15    81.69  1.26E+15  8.19E-14     3073448
    44.50       1.02E-16  1.01E-15    82.60  1.25E+15  8.34E-14     3039583
    45.50       9.37E-17  1.02E-15    83.39  1.24E+15  8.47E-14     3010700
    46.50       1.05E-16  1.02E-15    84.17  1.23E+15  8.61E-14     2982950
    47.50       7.22E-17  1.03E-15    84.95  1.22E+15  8.76E-14     2955611
    48.50       1.60E-16  1.04E-15    85.67  1.21E+15  8.91E-14     2930620
    49.50       8.71E-17  1.05E-15    86.35  1.20E+15  9.06E-14     2907575
    50.50       9.79E-17  1.06E-15    87.13  1.19E+15  9.20E-14     2881367
    51.50       9.12E-17  1.06E-15    87.91  1.18E+15  9.35E-14     2856306
    52.50       1.04E-16  1.07E-15    88.52  1.17E+15  9.47E-14     2836184
    53.50       9.73E-17  1.08E-15    89.27  1.16E+15  9.61E-14     2812538
    54.50       9.69E-17  1.08E-15    89.90  1.15E+15  9.75E-14     2792812
    55.50       1.16E-16  1.09E-15    90.53  1.14E+15  9.88E-14     2773670
