 E              SP        Sig       dE     dN        SP1           Ions
 Various data to calculate stopping power for input of 1 ion/cm^2/s.
 Conversion from [eV*cm^2] to [(MeV/mg)*cm^2] is 3.345e-15.
 Ion Energy     dE/dN     Sigma       dE     dN        Sigma*dE      Counts
 [keV/u]        [eV*cm^2] [cm^2]      [eV]   [cm^-2]   [eV*cm^2]    per bin
     1.50       4.65E-18  2.93E-16    38.46  5.10E+15  1.13E-14     6502390
     2.50       8.29E-18  3.68E-16    38.39  3.61E+15  1.41E-14     6509498
     3.50       1.00E-17  4.63E-16    38.32  2.75E+15  1.77E-14     6513917
     4.50       9.67E-18  5.66E-16    38.38  2.27E+15  2.17E-14     6519276
     5.50       1.26E-17  6.70E-16    38.59  1.98E+15  2.59E-14     6495264
     6.50       1.54E-17  7.69E-16    39.09  1.80E+15  3.00E-14     6432507
     7.50       1.74E-17  8.57E-16    39.59  1.69E+15  3.39E-14     6371664
     8.50       2.07E-17  9.29E-16    39.89  1.62E+15  3.71E-14     6346063
     9.50       1.92E-17  9.86E-16    39.09  1.57E+15  3.85E-14     6454467
    10.50       1.91E-17  1.02E-15    39.18  1.56E+15  3.99E-14     6407129
    11.50       1.87E-17  1.03E-15    40.55  1.57E+15  4.18E-14     6191249
    12.50       2.36E-17  1.04E-15    41.98  1.57E+15  4.36E-14     5979968
    13.50       1.96E-17  1.04E-15    43.41  1.57E+15  4.51E-14     5781921
    14.50       2.36E-17  1.04E-15    44.90  1.56E+15  4.66E-14     5591423
    15.50       3.05E-17  1.03E-15    46.36  1.56E+15  4.79E-14     5414710
    16.50       2.56E-17  1.03E-15    47.81  1.55E+15  4.90E-14     5251125
    17.50       2.58E-17  1.02E-15    49.34  1.54E+15  5.03E-14     5088346
    18.50       3.73E-17  1.01E-15    50.81  1.53E+15  5.14E-14     4941300
    19.50       3.63E-17  1.00E-15    52.28  1.53E+15  5.25E-14     4802613
    20.50       3.48E-17  9.97E-16    53.81  1.51E+15  5.36E-14     4666275
    21.50       3.62E-17  9.91E-16    55.19  1.51E+15  5.47E-14     4548989
    22.50       7.02E-17  9.85E-16    56.67  1.50E+15  5.58E-14     4430763
    23.50       3.70E-17  9.79E-16    58.07  1.49E+15  5.68E-14     4323460
    24.50       3.86E-17  9.74E-16    59.48  1.47E+15  5.79E-14     4221724
    25.50       3.78E-17  9.70E-16    60.93  1.46E+15  5.91E-14     4121316
    26.50       4.25E-17  9.66E-16    62.35  1.45E+15  6.02E-14     4027246
    27.50       5.09E-17  9.63E-16    63.66  1.44E+15  6.13E-14     3944289
    28.50       5.06E-17  9.61E-16    65.02  1.43E+15  6.25E-14     3862089
    29.50       9.16E-17  9.60E-16    66.31  1.42E+15  6.36E-14     3787127
    30.50       5.48E-17  9.59E-16    67.60  1.41E+15  6.48E-14     3714580
    31.50       5.45E-17  9.58E-16    68.83  1.40E+15  6.60E-14     3648492
    32.50       5.34E-17  9.59E-16    70.11  1.39E+15  6.72E-14     3582211
    33.50       5.40E-17  9.60E-16    71.32  1.38E+15  6.85E-14     3520652
    34.50       8.75E-17  9.62E-16    72.48  1.37E+15  6.97E-14     3464788
    35.50       5.28E-17  9.65E-16    73.65  1.35E+15  7.11E-14     3409648
    36.50       6.19E-17  9.67E-16    74.80  1.34E+15  7.23E-14     3357657
    37.50       6.35E-17  9.71E-16    75.86  1.33E+15  7.37E-14     3310096
    38.50       6.06E-17  9.74E-16    76.95  1.32E+15  7.50E-14     3263777
    39.50       7.11E-17  9.79E-16    77.96  1.31E+15  7.63E-14     3221849
    40.50       6.85E-17  9.84E-16    78.90  1.30E+15  7.76E-14     3182775
    41.50       7.42E-17  9.89E-16    79.86  1.29E+15  7.90E-14     3144930
    42.50       7.58E-17  9.95E-16    80.81  1.27E+15  8.04E-14     3108167
    43.50       7.04E-17  1.00E-15    81.74  1.26E+15  8.19E-14     3072624
    44.50       7.11E-17  1.01E-15    82.61  1.25E+15  8.33E-14     3040088
    45.50       7.96E-17  1.02E-15    83.40  1.24E+15  8.48E-14     3011473
    46.50       7.54E-17  1.02E-15    84.15  1.23E+15  8.62E-14     2984485
    47.50       7.79E-17  1.03E-15    84.91  1.22E+15  8.76E-14     2957978
    48.50       1.16E-16  1.04E-15    85.63  1.21E+15  8.91E-14     2932880
    49.50       9.92E-17  1.05E-15    86.41  1.20E+15  9.06E-14     2906448
    50.50       1.25E-16  1.06E-15    87.21  1.19E+15  9.21E-14     2880118
    51.50       7.94E-17  1.06E-15    87.84  1.18E+15  9.34E-14     2859220
    52.50       9.01E-17  1.07E-15    88.58  1.17E+15  9.48E-14     2835532
    53.50       9.06E-17  1.08E-15    89.19  1.16E+15  9.60E-14     2815682
    54.50       1.05E-16  1.08E-15    89.92  1.15E+15  9.75E-14     2793320
    55.50       1.26E-16  1.09E-15    90.52  1.14E+15  9.87E-14     2774915
