                                SS           DS         SPEX         DPEX          Sum
 SI         705280776     94015138     38353020    113949224     23262231    974860389
 DI         159317243     18230494     11301769     20291902      9241307    218382715
 TI          26321446     26579474     17657924     29024897     15285167    114868908
 DCAI         1690239       702745       325517       843577       288798      3850876
 SC         123864454     48076835     19577268     68292907     16128197    275939661
 DC           6172058     12211748      6683682     14842891      7309180     47219559
 TEX        313027605     51233236     25132706     60709512     14690102    464793161
 -------------------------------------------------------------------------------------
 Sum       1335673821    251049670    119031886    307954910     86204982   2099915269
 
                                SS           DS         SPEX         DPEX          Sum
 SI             33.59         4.48         1.83         5.43         1.11        46.42
 DI              7.59         0.87         0.54         0.97         0.44        10.40
 TI              1.25         1.27         0.84         1.38         0.73         5.47
 DCAI            0.08         0.03         0.02         0.04         0.01         0.18
 SC              5.90         2.29         0.93         3.25         0.77        13.14
 DC              0.29         0.58         0.32         0.71         0.35         2.25
 TEX            14.91         2.44         1.20         2.89         0.70        22.13
 -------------------------------------------------------------------------------------
 Sum            63.61        11.96         5.67        14.67         4.11       100.00
