                                SS           DS         SPEX         DPEX          Sum
 NEG         28940284            0            0            0            0     28940284
 SI        1015887369     52008772     11537855     38759458     14269466   1132462920
 DI         162092111     19902425      7558049     18644084      8850196    217046865
 TI          22477049      9941205      4509008     10585941      5829619     53342822
 SC          56225037     10721735      2202814     13256351      5107408     87513345
 DC           1681794      1259507       512165      1516607       657972      5628045
 DCAI         3595692      1145693       379928      1295592       507882      6924787
 TEX        422292838     27646838      5965632     18452479      7635983    481993770
 --------------------------------------------------------------------------------------
 Sum       1713192174    122626175     32665451    102510512     42858526
 
                                SS           DS         SPEX         DPEX          Sum
 NEG             1.44         0.00         0.00         0.00         0.00         1.44
 SI             50.44         2.58         0.57         1.92         0.71        56.23
 DI              8.05         0.99         0.38         0.93         0.44        10.78
 TI              1.12         0.49         0.22         0.53         0.29         2.65
 SC              2.79         0.53         0.11         0.66         0.25         4.35
 DC              0.08         0.06         0.03         0.08         0.03         0.28
 DCAI            0.18         0.06         0.02         0.06         0.03         0.34
 TEX            20.97         1.37         0.30         0.92         0.38        23.93
 --------------------------------------------------------------------------------------
 Sum            85.07         6.09         1.62         5.09         2.13
