 E              SP        Sig       dE     dN        SP1           Ions
 Various data to calculate stopping power for input of 1 ion/cm^2/s.
 Conversion from [eV*cm^2] to [(MeV/mg)*cm^2] is 3.345e-15.
 Ion Energy     dE/dN     Sigma       dE     dN        Sigma*dE      Counts
 [keV/u]        [eV*cm^2] [cm^2]      [eV]   [cm^-2]   [eV*cm^2]    per bin
     1.50       5.29E-18  2.93E-16    38.47  5.10E+15  1.13E-14     6489442
     2.50       6.86E-18  3.68E-16    38.39  3.61E+15  1.41E-14     6504023
     3.50       7.97E-18  4.63E-16    38.30  2.75E+15  1.77E-14     6510855
     4.50       1.32E-17  5.66E-16    38.38  2.27E+15  2.17E-14     6504217
     5.50       1.37E-17  6.70E-16    38.67  1.98E+15  2.59E-14     6487402
     6.50       2.34E-17  7.69E-16    39.04  1.80E+15  3.00E-14     6410468
     7.50       1.94E-17  8.57E-16    39.77  1.69E+15  3.41E-14     6351261
     8.50       2.85E-17  9.29E-16    39.80  1.62E+15  3.70E-14     6352740
     9.50       2.48E-17  9.86E-16    39.05  1.58E+15  3.85E-14     6451696
    10.50       2.72E-17  1.02E-15    39.17  1.56E+15  3.99E-14     6400548
    11.50       2.19E-17  1.03E-15    40.56  1.57E+15  4.19E-14     6181605
    12.50       2.45E-17  1.04E-15    41.98  1.57E+15  4.36E-14     5972937
    13.50       2.46E-17  1.04E-15    43.43  1.57E+15  4.52E-14     5772084
    14.50       3.05E-17  1.04E-15    44.89  1.56E+15  4.66E-14     5585056
    15.50       2.50E-17  1.03E-15    46.40  1.56E+15  4.79E-14     5404864
    16.50       2.56E-17  1.03E-15    47.84  1.55E+15  4.91E-14     5241314
    17.50       3.13E-17  1.02E-15    49.32  1.54E+15  5.02E-14     5084413
    18.50       2.89E-17  1.01E-15    50.81  1.53E+15  5.14E-14     4935892
    19.50       2.84E-17  1.00E-15    52.29  1.53E+15  5.25E-14     4795474
    20.50       3.49E-17  9.97E-16    53.73  1.52E+15  5.36E-14     4667397
    21.50       3.53E-17  9.90E-16    55.20  1.51E+15  5.46E-14     4543184
    22.50       3.14E-17  9.84E-16    56.63  1.50E+15  5.57E-14     4428289
    23.50       3.88E-17  9.79E-16    58.11  1.49E+15  5.69E-14     4315698
    24.50       4.27E-17  9.74E-16    59.49  1.47E+15  5.80E-14     4215469
    25.50       4.90E-17  9.70E-16    60.91  1.46E+15  5.91E-14     4117729
    26.50       3.86E-17  9.66E-16    62.30  1.45E+15  6.02E-14     4025602
    27.50       3.69E-17  9.63E-16    63.69  1.44E+15  6.13E-14     3938265
    28.50       5.45E-17  9.61E-16    65.01  1.43E+15  6.25E-14     3858242
    29.50       4.34E-17  9.60E-16    66.32  1.42E+15  6.37E-14     3781762
    30.50       4.44E-17  9.59E-16    67.61  1.41E+15  6.48E-14     3709467
    31.50       8.93E-17  9.59E-16    68.87  1.40E+15  6.60E-14     3641696
    32.50       5.22E-17  9.58E-16    70.12  1.39E+15  6.72E-14     3577471
    33.50       5.94E-17  9.60E-16    71.31  1.38E+15  6.84E-14     3516999
    34.50       6.08E-17  9.63E-16    72.53  1.36E+15  6.98E-14     3458416
    35.50       8.62E-17  9.65E-16    73.63  1.35E+15  7.10E-14     3406477
    36.50       7.43E-17  9.67E-16    74.82  1.34E+15  7.23E-14     3352494
    37.50       1.14E-16  9.70E-16    75.84  1.33E+15  7.36E-14     3307285
    38.50       6.68E-17  9.74E-16    76.91  1.32E+15  7.49E-14     3261256
    39.50       7.01E-17  9.79E-16    77.93  1.31E+15  7.63E-14     3218823
    40.50       7.34E-17  9.84E-16    78.91  1.30E+15  7.76E-14     3178972
    41.50       7.60E-17  9.89E-16    79.92  1.28E+15  7.91E-14     3138710
    42.50       1.63E-16  9.95E-16    80.80  1.27E+15  8.04E-14     3104603
    43.50       7.89E-17  1.00E-15    81.70  1.26E+15  8.20E-14     3070270
    44.50       7.63E-17  1.01E-15    82.55  1.25E+15  8.33E-14     3038826
    45.50       8.69E-17  1.02E-15    83.36  1.24E+15  8.48E-14     3008907
    46.50       9.19E-17  1.02E-15    84.15  1.23E+15  8.61E-14     2981206
    47.50       7.60E-17  1.03E-15    84.94  1.22E+15  8.77E-14     2953353
    48.50       8.22E-17  1.04E-15    85.69  1.21E+15  8.91E-14     2927394
    49.50       7.28E-17  1.05E-15    86.42  1.20E+15  9.06E-14     2902793
    50.50       7.58E-17  1.06E-15    87.12  1.19E+15  9.20E-14     2879377
    51.50       8.46E-17  1.06E-15    87.82  1.18E+15  9.34E-14     2856438
    52.50       8.54E-17  1.07E-15    88.49  1.17E+15  9.47E-14     2834722
    53.50       8.42E-17  1.08E-15    89.20  1.16E+15  9.61E-14     2812406
    54.50       2.40E-16  1.08E-15    89.92  1.15E+15  9.75E-14     2790289
    55.50       1.41E-16  1.09E-15    90.44  1.14E+15  9.88E-14     2773871
