                                SS           DS         SPEX         DPEX          Sum
 NEG         28796154            0            0            0            0     28796154
 SI        1010832500     51750213     11480036     38567004     14198609   1126828362
 DI         161284031     19803473      7520420     18551660      8805945    215965529
 TI          22365300      9891872      4486669     10533454      5800742     53078037
 SC          55944604     10668570      2191789     13190215      5082089     87077267
 DC           1673274      1253391       509647      1509024       654768      5600104
 DCAI         3577580      1140019       378016      1289159       505365      6890139
 TEX        420190900     27509156      5935906     18360847      7597913    479594722
 --------------------------------------------------------------------------------------
 Sum       1704664343    122016694     32502483    102001363     42645431
 
                                SS           DS         SPEX         DPEX          Sum
 NEG             1.44         0.00         0.00         0.00         0.00         1.44
 SI             50.44         2.58         0.57         1.92         0.71        56.23
 DI              8.05         0.99         0.38         0.93         0.44        10.78
 TI              1.12         0.49         0.22         0.53         0.29         2.65
 SC              2.79         0.53         0.11         0.66         0.25         4.35
 DC              0.08         0.06         0.03         0.08         0.03         0.28
 DCAI            0.18         0.06         0.02         0.06         0.03         0.34
 TEX            20.97         1.37         0.30         0.92         0.38        23.93
 --------------------------------------------------------------------------------------
 Sum            85.07         6.09         1.62         5.09         2.13
