                                SS           DS         SPEX         DPEX          Sum
 NEG         28879443            0            0            0            0     28879443
 SI         156034211     44396571     10373281     30358714     12698821    253861598
 DI          13432359     12451012      6099930     10071864      6849346     48904511
 TI           9855155      7973872      4079218      8412354      5262956     35583555
 SC          50877412     10351031      2135704     12817386      5019856     81201389
 DC           1565123      1216906       493747      1471792       637377      5384945
 DCAI         3044122      1043837       364217      1182076       484814      6119066
 TEX         61189933     26487976      5759873     17003941      7377105    117818828
 --------------------------------------------------------------------------------------
 Sum        324877758    103921205     29305970     81318127     38330275
 
                                SS           DS         SPEX         DPEX          Sum
 NEG             5.00         0.00         0.00         0.00         0.00         5.00
 SI             27.01         7.68         1.80         5.25         2.20        43.94
 DI              2.32         2.15         1.06         1.74         1.19         8.46
 TI              1.71         1.38         0.71         1.46         0.91         6.16
 SC              8.81         1.79         0.37         2.22         0.87        14.05
 DC              0.27         0.21         0.09         0.25         0.11         0.93
 DCAI            0.53         0.18         0.06         0.20         0.08         1.06
 TEX            10.59         4.58         1.00         2.94         1.28        20.39
 --------------------------------------------------------------------------------------
 Sum            56.23        17.99         5.07        14.07         6.63
