 E              SP        Sig       dE     dN        SP1           Ions
 Various data to calculate stopping power for input of 1 ion/cm^2/s.
 Conversion from [eV*cm^2] to [(MeV/mg)*cm^2] is 3.345e-15.
 Ion Energy     dE/dN     Sigma       dE     dN        Sigma*dE      Counts
 [keV/u]        [eV*cm^2] [cm^2]      [eV]   [cm^-2]   [eV*cm^2]    per bin
     1.50       4.24E-18  2.93E-16    38.48  5.10E+15  1.13E-14     6345174
     2.50       6.73E-18  3.68E-16    38.39  3.61E+15  1.41E-14     6357704
     3.50       1.12E-17  4.63E-16    38.36  2.75E+15  1.78E-14     6368278
     4.50       1.04E-17  5.66E-16    38.36  2.27E+15  2.17E-14     6371944
     5.50       1.12E-17  6.70E-16    38.58  1.98E+15  2.58E-14     6337910
     6.50       1.32E-17  7.69E-16    39.16  1.80E+15  3.01E-14     6269112
     7.50       1.76E-17  8.56E-16    39.68  1.69E+15  3.40E-14     6221102
     8.50       2.01E-17  9.29E-16    39.85  1.62E+15  3.70E-14     6198954
     9.50       2.21E-17  9.85E-16    39.09  1.57E+15  3.85E-14     6302882
    10.50       2.06E-17  1.02E-15    39.15  1.56E+15  3.99E-14     6261586
    11.50       2.27E-17  1.03E-15    40.56  1.57E+15  4.18E-14     6044757
    12.50       2.82E-17  1.04E-15    41.98  1.57E+15  4.36E-14     5841001
    13.50       2.73E-17  1.04E-15    43.43  1.56E+15  4.52E-14     5645664
    14.50       3.23E-17  1.04E-15    44.87  1.56E+15  4.66E-14     5464054
    15.50       3.89E-17  1.03E-15    46.39  1.56E+15  4.79E-14     5286979
    16.50       3.15E-17  1.03E-15    47.82  1.55E+15  4.91E-14     5127805
    17.50       2.93E-17  1.02E-15    49.36  1.54E+15  5.03E-14     4967837
    18.50       2.77E-17  1.01E-15    50.81  1.54E+15  5.14E-14     4825822
    19.50       3.98E-17  1.00E-15    52.27  1.53E+15  5.25E-14     4691246
    20.50       3.46E-17  9.97E-16    53.80  1.51E+15  5.36E-14     4559009
    21.50       5.31E-17  9.91E-16    55.22  1.51E+15  5.47E-14     4441242
    22.50       3.84E-17  9.85E-16    56.67  1.50E+15  5.58E-14     4327507
    23.50       5.17E-17  9.80E-16    58.07  1.49E+15  5.69E-14     4223928
    24.50       3.48E-17  9.74E-16    59.52  1.48E+15  5.80E-14     4120646
    25.50       4.64E-17  9.70E-16    60.92  1.46E+15  5.91E-14     4025968
    26.50       5.31E-17  9.66E-16    62.31  1.45E+15  6.02E-14     3936188
    27.50       4.34E-17  9.63E-16    63.69  1.44E+15  6.13E-14     3851311
    28.50       4.71E-17  9.61E-16    64.96  1.43E+15  6.24E-14     3775885
    29.50       5.12E-17  9.59E-16    66.36  1.42E+15  6.37E-14     3695961
    30.50       4.82E-17  9.58E-16    67.59  1.41E+15  6.48E-14     3628640
    31.50       4.72E-17  9.58E-16    68.91  1.40E+15  6.60E-14     3559314
    32.50       5.50E-17  9.59E-16    70.14  1.39E+15  6.73E-14     3497349
    33.50       5.21E-17  9.60E-16    71.23  1.38E+15  6.84E-14     3443288
    34.50       5.29E-17  9.61E-16    72.52  1.37E+15  6.97E-14     3382627
    35.50       6.31E-17  9.65E-16    73.65  1.35E+15  7.10E-14     3330403
    36.50       4.96E-17  9.66E-16    74.77  1.34E+15  7.23E-14     3280337
    37.50       5.88E-17  9.71E-16    75.84  1.33E+15  7.36E-14     3234322
    38.50       6.99E-17  9.74E-16    76.94  1.32E+15  7.50E-14     3188017
    39.50       6.95E-17  9.79E-16    77.89  1.31E+15  7.63E-14     3149298
    40.50       9.28E-17  9.84E-16    78.95  1.30E+15  7.77E-14     3107529
    41.50       6.94E-17  9.90E-16    79.92  1.28E+15  7.91E-14     3069650
    42.50       7.39E-17  9.95E-16    80.83  1.27E+15  8.04E-14     3034397
    43.50       8.01E-17  1.00E-15    81.74  1.26E+15  8.19E-14     3001357
    44.50       1.18E-16  1.01E-15    82.56  1.25E+15  8.32E-14     2971423
    45.50       7.74E-17  1.02E-15    83.39  1.24E+15  8.47E-14     2941608
    46.50       6.70E-17  1.02E-15    84.16  1.23E+15  8.62E-14     2914939
    47.50       7.55E-17  1.03E-15    84.94  1.22E+15  8.76E-14     2888034
    48.50       7.62E-17  1.04E-15    85.69  1.21E+15  8.91E-14     2862812
    49.50       8.27E-17  1.05E-15    86.41  1.20E+15  9.06E-14     2838957
    50.50       2.13E-16  1.06E-15    87.20  1.18E+15  9.23E-14     2813503
    51.50       1.04E-16  1.06E-15    87.86  1.18E+15  9.34E-14     2792073
    52.50       8.29E-17  1.07E-15    88.57  1.17E+15  9.49E-14     2769755
    53.50       1.09E-16  1.08E-15    89.28  1.16E+15  9.61E-14     2747955
    54.50       1.52E-16  1.09E-15    89.91  1.15E+15  9.76E-14     2728444
    55.50       9.07E-17  1.09E-15    90.51  1.14E+15  9.87E-14     2710332
