 E              SP        Sig       dE     dN        SP1           Ions
 Various data to calculate stopping power for input of 1 ion/cm^2/s.
 Conversion from [eV*cm^2] to [(MeV/mg)*cm^2] is 3.345e-15.
 Ion Energy     dE/dN     Sigma       dE     dN        Sigma*dE      Counts
 [keV/u]        [eV*cm^2] [cm^2]      [eV]   [cm^-2]   [eV*cm^2]    per bin
     1.50       4.19E-18  2.93E-16    38.47  5.10E+15  1.13E-14     6509418
     2.50       6.68E-18  3.68E-16    38.39  3.61E+15  1.41E-14     6520397
     3.50       1.11E-17  4.63E-16    38.37  2.75E+15  1.78E-14     6532650
     4.50       1.03E-17  5.66E-16    38.35  2.27E+15  2.17E-14     6535600
     5.50       1.13E-17  6.70E-16    38.59  1.98E+15  2.59E-14     6500225
     6.50       1.31E-17  7.69E-16    39.17  1.80E+15  3.01E-14     6429907
     7.50       1.76E-17  8.56E-16    39.67  1.69E+15  3.40E-14     6381623
     8.50       2.00E-17  9.29E-16    39.84  1.62E+15  3.70E-14     6359705
     9.50       2.19E-17  9.84E-16    39.09  1.57E+15  3.85E-14     6465800
    10.50       2.06E-17  1.02E-15    39.16  1.56E+15  3.99E-14     6422856
    11.50       2.73E-17  1.03E-15    40.56  1.57E+15  4.18E-14     6200912
    12.50       2.83E-17  1.04E-15    41.98  1.57E+15  4.36E-14     5991739
    13.50       2.72E-17  1.04E-15    43.42  1.56E+15  4.52E-14     5791845
    14.50       3.19E-17  1.04E-15    44.87  1.56E+15  4.66E-14     5605021
    15.50       3.84E-17  1.03E-15    46.39  1.56E+15  4.79E-14     5423119
    16.50       3.14E-17  1.03E-15    47.82  1.55E+15  4.91E-14     5259919
    17.50       2.92E-17  1.02E-15    49.35  1.54E+15  5.03E-14     5096659
    18.50       3.30E-17  1.01E-15    50.82  1.54E+15  5.14E-14     4950187
    19.50       3.95E-17  1.00E-15    52.28  1.53E+15  5.25E-14     4811932
    20.50       3.45E-17  9.97E-16    53.79  1.52E+15  5.36E-14     4676834
    21.50       6.08E-17  9.91E-16    55.22  1.51E+15  5.47E-14     4556141
    22.50       3.84E-17  9.85E-16    56.67  1.50E+15  5.58E-14     4439252
    23.50       5.10E-17  9.80E-16    58.06  1.49E+15  5.69E-14     4333228
    24.50       3.57E-17  9.74E-16    59.52  1.48E+15  5.80E-14     4226918
    25.50       4.62E-17  9.70E-16    60.92  1.46E+15  5.91E-14     4129601
    26.50       4.76E-17  9.66E-16    62.31  1.45E+15  6.02E-14     4037891
    27.50       4.32E-17  9.63E-16    63.68  1.44E+15  6.13E-14     3950897
    28.50       4.70E-17  9.61E-16    64.96  1.43E+15  6.24E-14     3873191
    29.50       5.12E-17  9.59E-16    66.35  1.42E+15  6.37E-14     3791542
    30.50       4.97E-17  9.58E-16    67.59  1.41E+15  6.48E-14     3722590
    31.50       4.88E-17  9.58E-16    68.91  1.40E+15  6.60E-14     3651108
    32.50       7.47E-17  9.59E-16    70.14  1.39E+15  6.73E-14     3587427
    33.50       5.16E-17  9.60E-16    71.22  1.38E+15  6.84E-14     3532630
    34.50       5.25E-17  9.61E-16    72.50  1.37E+15  6.97E-14     3470439
    35.50       6.56E-17  9.65E-16    73.65  1.35E+15  7.10E-14     3416404
    36.50       4.97E-17  9.66E-16    74.77  1.34E+15  7.22E-14     3365133
    37.50       5.87E-17  9.71E-16    75.85  1.33E+15  7.36E-14     3317568
    38.50       6.92E-17  9.74E-16    76.94  1.32E+15  7.50E-14     3270316
    39.50       6.89E-17  9.79E-16    77.89  1.31E+15  7.63E-14     3230477
    40.50       9.15E-17  9.84E-16    78.94  1.30E+15  7.77E-14     3187822
    41.50       6.87E-17  9.90E-16    79.91  1.29E+15  7.91E-14     3149081
    42.50       7.31E-17  9.95E-16    80.84  1.27E+15  8.04E-14     3112443
    43.50       7.96E-17  1.00E-15    81.74  1.26E+15  8.19E-14     3078775
    44.50       1.16E-16  1.01E-15    82.57  1.25E+15  8.32E-14     3047579
    45.50       7.82E-17  1.02E-15    83.39  1.24E+15  8.47E-14     3017573
    46.50       6.72E-17  1.02E-15    84.16  1.23E+15  8.62E-14     2990096
    47.50       7.60E-17  1.03E-15    84.95  1.22E+15  8.76E-14     2962312
    48.50       8.21E-17  1.04E-15    85.69  1.21E+15  8.92E-14     2936749
    49.50       8.99E-17  1.05E-15    86.39  1.20E+15  9.05E-14     2912576
    50.50       2.10E-16  1.06E-15    87.19  1.18E+15  9.23E-14     2886395
    51.50       1.03E-16  1.06E-15    87.86  1.18E+15  9.33E-14     2864116
    52.50       8.37E-17  1.07E-15    88.57  1.17E+15  9.49E-14     2841013
    53.50       1.09E-16  1.08E-15    89.29  1.16E+15  9.62E-14     2818548
    54.50       1.50E-16  1.09E-15    89.91  1.15E+15  9.76E-14     2798897
    55.50       9.29E-17  1.09E-15    90.51  1.14E+15  9.87E-14     2780134
