                                SS           DS         SPEX         DPEX          Sum
 NEG         28201567            0            0            0            0     28201567
 SI           8460892     29283919      5514525     14288115      6166692     63714143
 DI            136035      5543241      2259591      2927843      2337411     13204121
 TI            829073      2509701      1309677      2634844      1869527      9152822
 SC          31264234      7115442      1269350      9176342      3638776     52464144
 DC           1120061       596520       172472       824588       239523      2953164
 DCAI          846977       320697       112100       395624       148134      1823532
 TEX          5137534     21940933      4471213     12113978      5573636     49237294
 --------------------------------------------------------------------------------------
 Sum         75996373     67310453     15108928     42361334     19973699
 
                                SS           DS         SPEX         DPEX          Sum
 NEG            12.78         0.00         0.00         0.00         0.00        12.78
 SI              3.83        13.27         2.50         6.47         2.79        28.86
 DI              0.06         2.51         1.02         1.33         1.06         5.98
 TI              0.38         1.14         0.59         1.19         0.85         4.15
 SC             14.16         3.22         0.57         4.16         1.65        23.77
 DC              0.51         0.27         0.08         0.37         0.11         1.34
 DCAI            0.38         0.15         0.05         0.18         0.07         0.83
 TEX             2.33         9.94         2.03         5.49         2.52        22.30
 --------------------------------------------------------------------------------------
 Sum            34.43        30.49         6.84        19.19         9.05
