 E              SP        Sig       dE     dN        SP1           Ions
 Various data to calculate stopping power for input of 1 ion/cm^2/s.
 Conversion from [eV*cm^2] to [(MeV/mg)*cm^2] is 3.345e-15.
 Ion Energy     dE/dN     Sigma       dE     dN        Sigma*dE      Counts
 [keV/u]        [eV*cm^2] [cm^2]      [eV]   [cm^-2]   [eV*cm^2]    per bin
     1.50       4.37E-18  2.92E-16    38.46  5.10E+15  1.12E-14     6509350
     2.50       6.14E-18  3.68E-16    38.42  3.61E+15  1.41E-14     6523537
     3.50       7.64E-18  4.63E-16    38.31  2.75E+15  1.77E-14     6537343
     4.50       9.94E-18  5.66E-16    38.32  2.26E+15  2.17E-14     6525031
     5.50       1.35E-17  6.70E-16    38.62  1.98E+15  2.59E-14     6500337
     6.50       1.71E-17  7.69E-16    39.07  1.80E+15  3.00E-14     6443881
     7.50       1.60E-17  8.56E-16    39.75  1.69E+15  3.40E-14     6367959
     8.50       1.79E-17  9.29E-16    39.85  1.62E+15  3.70E-14     6361833
     9.50       1.90E-17  9.85E-16    39.06  1.57E+15  3.85E-14     6467695
    10.50       2.41E-17  1.02E-15    39.17  1.56E+15  3.99E-14     6420083
    11.50       2.25E-17  1.03E-15    40.56  1.56E+15  4.19E-14     6198920
    12.50       2.41E-17  1.04E-15    41.96  1.57E+15  4.36E-14     5992611
    13.50       2.46E-17  1.04E-15    43.41  1.57E+15  4.51E-14     5792280
    14.50       3.49E-17  1.04E-15    44.90  1.56E+15  4.66E-14     5600326
    15.50       3.90E-17  1.03E-15    46.37  1.56E+15  4.78E-14     5423531
    16.50       3.33E-17  1.03E-15    47.84  1.55E+15  4.91E-14     5256211
    17.50       3.36E-17  1.02E-15    49.35  1.54E+15  5.03E-14     5095757
    18.50       3.08E-17  1.01E-15    50.80  1.53E+15  5.14E-14     4950401
    19.50       3.05E-17  1.00E-15    52.26  1.52E+15  5.25E-14     4811978
    20.50       3.27E-17  9.96E-16    53.75  1.52E+15  5.36E-14     4679024
    21.50       4.02E-17  9.91E-16    55.22  1.51E+15  5.47E-14     4554526
    22.50       3.22E-17  9.85E-16    56.68  1.50E+15  5.58E-14     4438048
    23.50       5.01E-17  9.79E-16    58.12  1.49E+15  5.69E-14     4327878
    24.50       4.93E-17  9.74E-16    59.52  1.47E+15  5.80E-14     4225868
    25.50       4.06E-17  9.70E-16    60.92  1.46E+15  5.91E-14     4128721
    26.50       4.40E-17  9.67E-16    62.31  1.45E+15  6.03E-14     4036570
    27.50       4.34E-17  9.63E-16    63.67  1.44E+15  6.13E-14     3950667
    28.50       4.14E-17  9.61E-16    65.00  1.43E+15  6.25E-14     3869428
    29.50       4.90E-17  9.60E-16    66.33  1.42E+15  6.37E-14     3792524
    30.50       4.51E-17  9.59E-16    67.56  1.41E+15  6.48E-14     3723166
    31.50       6.16E-17  9.59E-16    68.87  1.40E+15  6.60E-14     3652831
    32.50       6.06E-17  9.59E-16    70.08  1.39E+15  6.72E-14     3589148
    33.50       5.34E-17  9.59E-16    71.31  1.38E+15  6.84E-14     3527927
    34.50       6.63E-17  9.62E-16    72.51  1.37E+15  6.98E-14     3469594
    35.50       5.94E-17  9.65E-16    73.63  1.35E+15  7.11E-14     3416493
    36.50       6.37E-17  9.67E-16    74.81  1.34E+15  7.23E-14     3362296
    37.50       5.75E-17  9.72E-16    75.93  1.33E+15  7.38E-14     3313178
    38.50       5.18E-17  9.74E-16    76.87  1.32E+15  7.49E-14     3272732
    39.50       7.25E-17  9.79E-16    77.89  1.31E+15  7.62E-14     3229754
    40.50       5.88E-17  9.84E-16    78.95  1.30E+15  7.77E-14     3186496
    41.50       7.05E-17  9.90E-16    79.87  1.29E+15  7.91E-14     3149752
    42.50       6.21E-17  9.95E-16    80.87  1.27E+15  8.05E-14     3111220
    43.50       8.64E-17  1.00E-15    81.65  1.26E+15  8.17E-14     3081280
    44.50       7.42E-17  1.01E-15    82.53  1.25E+15  8.32E-14     3048272
    45.50       7.94E-17  1.02E-15    83.32  1.24E+15  8.46E-14     3019386
    46.50       8.96E-17  1.02E-15    84.09  1.23E+15  8.61E-14     2991898
    47.50       9.28E-17  1.03E-15    84.95  1.22E+15  8.76E-14     2961860
    48.50       1.03E-16  1.04E-15    85.68  1.21E+15  8.91E-14     2936051
    49.50       9.58E-17  1.04E-15    86.55  1.20E+15  9.02E-14     2925135
    50.50            NaN       NaN      NaN       NaN       NaN           0
    51.50            NaN       NaN      NaN       NaN       NaN           0
    52.50            NaN       NaN      NaN       NaN       NaN           0
    53.50            NaN       NaN      NaN       NaN       NaN           0
    54.50            NaN       NaN      NaN       NaN       NaN           0
    55.50            NaN       NaN      NaN       NaN       NaN           0
    56.50            NaN       NaN      NaN       NaN       NaN           0
    57.50            NaN       NaN      NaN       NaN       NaN           0
    58.50            NaN       NaN      NaN       NaN       NaN           0
