                                SS           DS         SPEX         DPEX          Sum
 NEG         11926360            0            0            0            0     11926360
 SI           1125230      9071338       569312      1693117       785080     13244077
 DI               770      1108838       104080       196017       136556      1546261
 TI              2781        51359        20342        53424        46482       174388
 SC           5086841       846162       102213      1236541       602516      7874273
 DC            233518        55385         5812        96815        12770       404300
 DCAI           14100         8225         1968        11101         3738        39132
 TEX           113245      6045969      1006097      2502828      1372261     11040400
 --------------------------------------------------------------------------------------
 Sum         18502845     17187276      1809824      5789843      2959403
 
                                SS           DS         SPEX         DPEX          Sum
 NEG            25.79         0.00         0.00         0.00         0.00        25.79
 SI              2.43        19.61         1.23         3.66         1.70        28.64
 DI              0.00         2.40         0.23         0.42         0.29         3.34
 TI              0.01         0.11         0.04         0.12         0.10         0.38
 SC             11.00         1.83         0.22         2.67         1.30        17.03
 DC              0.50         0.12         0.01         0.21         0.03         0.87
 DCAI            0.03         0.02         0.00         0.02         0.01         0.08
 TEX             0.24        13.07         2.18         5.41         2.97        23.87
 --------------------------------------------------------------------------------------
 Sum            40.01        37.16         3.91        12.52         6.40
