                                SS           DS         SPEX         DPEX          Sum
 NEG         14978593            0            0            0            0     14978593
 SI           1412261     11395464       714208      2126183       985769     16633885
 DI               960      1391074       130636       245788       171303      1939761
 TI              3492        64565        25595        67054        58387       219093
 SC           6387074      1063466       128404      1552590       756807      9888341
 DC            293080        69525         7278       121498        16043       507424
 DCAI           17712        10324         2445        13933         4658        49072
 TEX           142296      7591762      1263322      3143113      1723156     13863649
 --------------------------------------------------------------------------------------
 Sum         23235468     21586180      2271888      7270159      3716123
 
                                SS           DS         SPEX         DPEX          Sum
 NEG            25.79         0.00         0.00         0.00         0.00        25.79
 SI              2.43        19.62         1.23         3.66         1.70        28.64
 DI              0.00         2.40         0.22         0.42         0.29         3.34
 TI              0.01         0.11         0.04         0.12         0.10         0.38
 SC             11.00         1.83         0.22         2.67         1.30        17.03
 DC              0.50         0.12         0.01         0.21         0.03         0.87
 DCAI            0.03         0.02         0.00         0.02         0.01         0.08
 TEX             0.25        13.07         2.17         5.41         2.97        23.87
 --------------------------------------------------------------------------------------
 Sum            40.01        37.17         3.91        12.52         6.40
