 E              SP        Sig       dE     dN        SP1           Ions
 Various data to calculate stopping power for input of 1 ion/cm^2/s.
 Conversion from [eV*cm^2] to [(MeV/mg)*cm^2] is 3.345e-15.
 Ion Energy     dE/dN     Sigma       dE     dN        Sigma*dE      Counts
 [keV/u]        [eV*cm^2] [cm^2]      [eV]   [cm^-2]   [eV*cm^2]    per bin
     1.50       5.27E-18  2.93E-16    38.47  5.10E+15  1.13E-14     6552845
     2.50       8.36E-18  3.68E-16    38.42  3.61E+15  1.41E-14     6563408
     3.50       8.60E-18  4.63E-16    38.33  2.75E+15  1.77E-14     6574707
     4.50       1.17E-17  5.66E-16    38.30  2.26E+15  2.17E-14     6572650
     5.50       1.39E-17  6.70E-16    38.70  1.98E+15  2.59E-14     6535730
     6.50       1.42E-17  7.69E-16    39.15  1.80E+15  3.01E-14     6479052
     7.50       2.48E-17  8.57E-16    39.70  1.69E+15  3.40E-14     6414911
     8.50       1.74E-17  9.29E-16    39.85  1.62E+15  3.70E-14     6401645
     9.50       1.67E-17  9.85E-16    39.06  1.57E+15  3.85E-14     6515026
    10.50       1.74E-17  1.02E-15    39.20  1.56E+15  3.99E-14     6457217
    11.50       1.94E-17  1.03E-15    40.56  1.57E+15  4.19E-14     6240164
    12.50       3.26E-17  1.04E-15    41.97  1.57E+15  4.36E-14     6033155
    13.50       2.26E-17  1.04E-15    43.45  1.56E+15  4.52E-14     5828091
    14.50       3.21E-17  1.04E-15    44.90  1.56E+15  4.66E-14     5639112
    15.50       2.71E-17  1.03E-15    46.34  1.56E+15  4.79E-14     5462996
    16.50       3.39E-17  1.03E-15    47.83  1.55E+15  4.91E-14     5293415
    17.50       3.38E-17  1.02E-15    49.34  1.54E+15  5.03E-14     5130881
    18.50       3.25E-17  1.01E-15    50.83  1.53E+15  5.14E-14     4981511
    19.50       3.23E-17  1.00E-15    52.28  1.52E+15  5.25E-14     4843540
    20.50       3.22E-17  9.97E-16    53.76  1.52E+15  5.36E-14     4710048
    21.50       3.52E-17  9.90E-16    55.23  1.51E+15  5.47E-14     4585204
    22.50       6.38E-17  9.84E-16    56.64  1.50E+15  5.58E-14     4470259
    23.50       5.04E-17  9.79E-16    58.14  1.49E+15  5.69E-14     4355922
    24.50       4.26E-17  9.74E-16    59.50  1.48E+15  5.80E-14     4255463
    25.50       3.76E-17  9.70E-16    60.91  1.47E+15  5.91E-14     4157427
    26.50       5.19E-17  9.66E-16    62.31  1.46E+15  6.02E-14     4064004
    27.50       4.76E-17  9.63E-16    63.63  1.44E+15  6.13E-14     3979877
    28.50       6.75E-17  9.61E-16    65.05  1.43E+15  6.25E-14     3893047
    29.50       6.78E-17  9.59E-16    66.32  1.42E+15  6.36E-14     3818828
    30.50       4.65E-17  9.59E-16    67.64  1.41E+15  6.48E-14     3744274
    31.50       6.10E-17  9.59E-16    68.89  1.40E+15  6.60E-14     3676005
    32.50       4.85E-17  9.59E-16    70.06  1.39E+15  6.72E-14     3615174
    33.50       4.91E-17  9.60E-16    71.32  1.38E+15  6.85E-14     3551165
    34.50       5.98E-17  9.62E-16    72.51  1.37E+15  6.98E-14     3493040
    35.50       1.68E-16  9.64E-16    73.65  1.35E+15  7.10E-14     3438405
    36.50       5.79E-17  9.67E-16    74.81  1.34E+15  7.24E-14     3385398
    37.50       6.59E-17  9.71E-16    75.88  1.33E+15  7.37E-14     3337926
    38.50       6.51E-17  9.75E-16    76.94  1.32E+15  7.50E-14     3291974
    39.50       6.11E-17  9.79E-16    77.97  1.31E+15  7.63E-14     3248593
    40.50       6.94E-17  9.83E-16    78.93  1.30E+15  7.76E-14     3208841
    41.50       1.38E-16  9.89E-16    79.88  1.28E+15  7.90E-14     3170931
    42.50       9.33E-17  9.96E-16    80.78  1.27E+15  8.05E-14     3135417
    43.50       7.57E-17  1.00E-15    81.74  1.26E+15  8.18E-14     3098869
    44.50       7.51E-17  1.01E-15    82.58  1.25E+15  8.34E-14     3067015
    45.50       8.42E-17  1.02E-15    83.39  1.24E+15  8.48E-14     3037648
    46.50       8.91E-17  1.02E-15    84.13  1.23E+15  8.61E-14     3010637
    47.50       7.28E-17  1.03E-15    84.95  1.22E+15  8.76E-14     2981577
    48.50       8.76E-17  1.04E-15    85.68  1.21E+15  8.92E-14     2956314
    49.50       8.34E-17  1.05E-15    86.38  1.19E+15  9.06E-14     2931886
    50.50       8.45E-17  1.06E-15    87.20  1.19E+15  9.20E-14     2905107
    51.50       8.84E-17  1.06E-15    87.85  1.18E+15  9.34E-14     2883689
    52.50       1.06E-16  1.07E-15    88.63  1.17E+15  9.48E-14     2857727
    53.50       8.80E-17  1.08E-15    89.12  1.16E+15  9.60E-14     2841885
    54.50       8.26E-17  1.08E-15    89.87  1.15E+15  9.74E-14     2818614
    55.50       1.13E-16  1.09E-15    90.48  1.14E+15  9.88E-14     2799521
