                                SS           DS         SPEX         DPEX          Sum
 NEG         17072528            0            0            0            0     17072528
 SI           1446522     12784941       916246      2626707      1225606     19000022
 DI              1205      1625036       185902       317572       227938      2357653
 TI              6025        99689        42759       105212        89890       343575
 SC           7747572      1368586       177940      2001428       953708     12249234
 DC            335500        86641         9736       152895        22089       606861
 DCAI           27791        15669         3643        20832         7215        75150
 TEX           202210      9244086      1518522      3784442      2059038     16808298
 --------------------------------------------------------------------------------------
 Sum         26839353     25224648      2854748      9009088      4585484
 
                                SS           DS         SPEX         DPEX          Sum
 NEG            24.92         0.00         0.00         0.00         0.00        24.92
 SI              2.11        18.66         1.34         3.83         1.79        27.73
 DI              0.00         2.37         0.27         0.46         0.33         3.44
 TI              0.01         0.15         0.06         0.15         0.13         0.50
 SC             11.31         2.00         0.26         2.92         1.39        17.88
 DC              0.49         0.13         0.01         0.22         0.03         0.89
 DCAI            0.04         0.02         0.01         0.03         0.01         0.11
 TEX             0.30        13.49         2.22         5.52         3.01        24.53
 --------------------------------------------------------------------------------------
 Sum            39.17        36.82         4.17        13.15         6.69
