                                SS           DS         SPEX         DPEX          Sum
 SI           4011154     25089806     11813973     26823030      6118040     73856003
 DI           5655087      1783826      1469389      1795857      1045141     11749300
 TI            183168      5649703      4378863      5876326      3738884     19826944
 DCAI           23521        28117        16606        32571        17228       118043
 SC          42777404     20774722      8223158     32317742      7690880    111783906
 DC           2862961      5138977      2121624      6950270      3111258     20185090
 TEX          3827399     26475670     15563034     28351600      9153777     83371480
 -------------------------------------------------------------------------------------
 Sum         59340694     84940821     43586647    102147396     30875208    320890766
 
                                SS           DS         SPEX         DPEX          Sum
 SI              1.25         7.82         3.68         8.36         1.91        23.02
 DI              1.76         0.56         0.46         0.56         0.33         3.66
 TI              0.06         1.76         1.36         1.83         1.17         6.18
 DCAI            0.01         0.01         0.01         0.01         0.01         0.04
 SC             13.33         6.47         2.56        10.07         2.40        34.84
 DC              0.89         1.60         0.66         2.17         0.97         6.29
 TEX             1.19         8.25         4.85         8.84         2.85        25.98
 -------------------------------------------------------------------------------------
 Sum            18.49        26.47        13.58        31.83         9.62       100.00
