 E              SP        Sig       dE     dN        SP1           Ions
 Various data to calculate stopping power for input of 1 ion/cm^2/s.
 Conversion from [eV*cm^2] to [(MeV/mg)*cm^2] is 3.345e-15.
 Ion Energy     dE/dN     Sigma       dE     dN        Sigma*dE      Counts
 [keV/u]        [eV*cm^2] [cm^2]      [eV]   [cm^-2]   [eV*cm^2]    per bin
     1.50       4.27E-18  2.93E-16    38.47  5.10E+15  1.13E-14     6500988
     2.50       5.07E-18  3.68E-16    38.40  3.61E+15  1.41E-14     6507757
     3.50       8.69E-18  4.63E-16    38.40  2.75E+15  1.78E-14     6518846
     4.50       1.14E-17  5.66E-16    38.31  2.26E+15  2.17E-14     6519596
     5.50       2.37E-17  6.70E-16    38.65  1.98E+15  2.59E-14     6486644
     6.50       1.45E-17  7.69E-16    39.09  1.80E+15  3.00E-14     6432733
     7.50       1.96E-17  8.57E-16    39.68  1.69E+15  3.40E-14     6370724
     8.50       2.85E-17  9.30E-16    39.81  1.62E+15  3.70E-14     6355483
     9.50       1.91E-17  9.85E-16    39.09  1.57E+15  3.85E-14     6457467
    10.50       2.06E-17  1.02E-15    39.15  1.56E+15  3.99E-14     6413679
    11.50       2.16E-17  1.03E-15    40.54  1.57E+15  4.19E-14     6193318
    12.50       2.37E-17  1.04E-15    41.99  1.57E+15  4.36E-14     5980734
    13.50       4.15E-17  1.04E-15    43.44  1.57E+15  4.52E-14     5780766
    14.50       2.97E-17  1.04E-15    44.89  1.56E+15  4.66E-14     5593804
    15.50       3.21E-17  1.03E-15    46.38  1.56E+15  4.79E-14     5414923
    16.50       2.84E-17  1.03E-15    47.82  1.55E+15  4.91E-14     5251616
    17.50       2.88E-17  1.02E-15    49.31  1.54E+15  5.03E-14     5093469
    18.50       2.78E-17  1.01E-15    50.80  1.53E+15  5.14E-14     4943595
    19.50       3.69E-17  1.00E-15    52.27  1.53E+15  5.25E-14     4806098
    20.50       2.83E-17  9.96E-16    53.74  1.52E+15  5.35E-14     4673737
    21.50       3.79E-17  9.91E-16    55.21  1.51E+15  5.47E-14     4549202
    22.50       4.86E-17  9.84E-16    56.68  1.50E+15  5.58E-14     4431455
    23.50       4.34E-17  9.79E-16    58.07  1.49E+15  5.69E-14     4325240
    24.50       4.29E-17  9.74E-16    59.55  1.48E+15  5.80E-14     4218820
    25.50       4.33E-17  9.70E-16    60.93  1.47E+15  5.91E-14     4122872
    26.50       4.24E-17  9.67E-16    62.31  1.46E+15  6.03E-14     4031431
    27.50       5.35E-17  9.63E-16    63.67  1.44E+15  6.13E-14     3945124
    28.50       4.68E-17  9.61E-16    65.00  1.43E+15  6.25E-14     3864228
    29.50       5.29E-17  9.59E-16    66.39  1.42E+15  6.37E-14     3784054
    30.50       6.42E-17  9.58E-16    67.60  1.41E+15  6.48E-14     3715878
    31.50       5.17E-17  9.58E-16    68.90  1.40E+15  6.60E-14     3646530
    32.50       5.39E-17  9.60E-16    70.12  1.39E+15  6.73E-14     3582363
    33.50       5.55E-17  9.60E-16    71.40  1.38E+15  6.85E-14     3518634
    34.50       8.78E-17  9.61E-16    72.50  1.36E+15  6.97E-14     3465273
    35.50       5.33E-17  9.64E-16    73.65  1.35E+15  7.10E-14     3411380
    36.50       6.71E-17  9.67E-16    74.82  1.34E+15  7.23E-14     3357612
    37.50       5.43E-17  9.70E-16    75.87  1.33E+15  7.36E-14     3311396
    38.50       1.16E-16  9.75E-16    76.95  1.32E+15  7.51E-14     3265036
    39.50       7.58E-17  9.78E-16    77.94  1.31E+15  7.63E-14     3223264
    40.50       7.35E-17  9.84E-16    78.89  1.30E+15  7.76E-14     3184496
    41.50       8.46E-17  9.90E-16    79.86  1.29E+15  7.90E-14     3145936
    42.50       7.37E-17  9.95E-16    80.84  1.27E+15  8.05E-14     3108011
    43.50       7.86E-17  1.00E-15    81.73  1.26E+15  8.19E-14     3074138
    44.50       8.01E-17  1.01E-15    82.61  1.25E+15  8.33E-14     3041177
    45.50       7.99E-17  1.02E-15    83.43  1.24E+15  8.48E-14     3011690
    46.50       7.20E-17  1.02E-15    84.22  1.23E+15  8.63E-14     2983338
    47.50       9.33E-17  1.03E-15    84.88  1.22E+15  8.76E-14     2959967
    48.50       9.44E-17  1.04E-15    85.68  1.21E+15  8.91E-14     2932416
    49.50       1.80E-16  1.05E-15    86.32  1.19E+15  9.06E-14     2910618
    50.50       9.07E-17  1.05E-15    87.13  1.19E+15  9.19E-14     2883718
    51.50       8.55E-17  1.06E-15    87.80  1.18E+15  9.33E-14     2861363
    52.50       1.13E-16  1.07E-15    88.52  1.17E+15  9.47E-14     2838275
    53.50       1.68E-16  1.08E-15    89.19  1.16E+15  9.61E-14     2817230
    54.50       1.09E-16  1.08E-15    89.95  1.15E+15  9.74E-14     2793309
    55.50       9.42E-17  1.09E-15    90.44  1.14E+15  9.88E-14     2778485
