                                SS           DS         SPEX         DPEX          Sum
 NEG         28707597            0            0            0            0     28707597
 SI         445080727     49026583     11235701     35407132     13853334    554603477
 DI          57615468     16954951      7127099     15186276      8169487    105053281
 TI          17373818      9520795      4423553     10127073      5708771     47154010
 SC          54362639     10583316      2177281     13079818      5060271     85263325
 DC           1635380      1244695       505804      1502125       651751      5539755
 DCAI         3485350      1128991       376034      1277441       502651      6770467
 TEX        167162807     27032895      5885728     17815054      7528513    225424997
 --------------------------------------------------------------------------------------
 Sum        775423786    115492226     31731200     94394919     41474778
 
                                SS           DS         SPEX         DPEX          Sum
 NEG             2.71         0.00         0.00         0.00         0.00         2.71
 SI             42.05         4.63         1.06         3.34         1.31        52.39
 DI              5.44         1.60         0.67         1.43         0.77         9.92
 TI              1.64         0.90         0.42         0.96         0.54         4.45
 SC              5.14         1.00         0.21         1.24         0.48         8.06
 DC              0.15         0.12         0.05         0.14         0.06         0.52
 DCAI            0.33         0.11         0.04         0.12         0.05         0.64
 TEX            15.79         2.55         0.56         1.68         0.71        21.30
 --------------------------------------------------------------------------------------
 Sum            73.26        10.91         3.00         8.92         3.92
