                                SS           DS         SPEX         DPEX          Sum
 SI         115918509     70243202     31436775     80174689     18394687    316167862
 DI          38447044      9490426      7376640      9896121      5901442     71111673
 TI           7043481     19899141     14599539     21278638     12540226     75361025
 DCAI         1028523       525377       273741       634136       243845      2705622
 SC         101575037     44673697     18583074     63616447     15414270    243862525
 DC           5168872     11254599      6211239     13791040      6857411     43283161
 TEX         54401441     47574116     23943885     53181339     13970112    193070893
 -------------------------------------------------------------------------------------
 Sum        323582907    203660558    102424893    242572410     73321993    945562761
 
                                SS           DS         SPEX         DPEX          Sum
 SI             12.26         7.43         3.32         8.48         1.95        33.44
 DI              4.07         1.00         0.78         1.05         0.62         7.52
 TI              0.74         2.10         1.54         2.25         1.33         7.97
 DCAI            0.11         0.06         0.03         0.07         0.03         0.29
 SC             10.74         4.72         1.97         6.73         1.63        25.79
 DC              0.55         1.19         0.66         1.46         0.73         4.58
 TEX             5.75         5.03         2.53         5.62         1.48        20.42
 -------------------------------------------------------------------------------------
 Sum            34.22        21.54        10.83        25.65         7.75       100.00
