                                SS           DS         SPEX         DPEX          Sum
 SI           1219183      1283489       538596      1403541       196581      4641390
 DI             96285        28299        24192        28393        11077       188246
 TI              2427        23157        20107        23401        20649        89741
 DCAI              25           46           33           49           38          191
 SC           3394152       663840       275535       840816       367740      5542083
 DC            345196       210109        38355       303737       158216      1055613
 TEX             9432      1412144      1171729      1423602       533660      4550567
 -------------------------------------------------------------------------------------
 Sum          5066700      3621084      2068547      4023539      1287961     16067831
 
                                SS           DS         SPEX         DPEX          Sum
 SI              7.59         7.99         3.35         8.74         1.22        28.89
 DI              0.60         0.18         0.15         0.18         0.07         1.17
 TI              0.02         0.14         0.13         0.15         0.13         0.56
 DCAI            0.00         0.00         0.00         0.00         0.00         0.00
 SC             21.12         4.13         1.71         5.23         2.29        34.49
 DC              2.15         1.31         0.24         1.89         0.98         6.57
 TEX             0.06         8.79         7.29         8.86         3.32        28.32
 -------------------------------------------------------------------------------------
 Sum            31.53        22.54        12.87        25.04         8.02       100.00
