 E              SP        Sig       dE     dN        SP1           Ions
 Various data to calculate stopping power for input of 1 ion/cm^2/s.
 Conversion from [eV*cm^2] to [(MeV/mg)*cm^2] is 3.345e-15.
 Ion Energy     dE/dN     Sigma       dE     dN        Sigma*dE      Counts
 [keV/u]        [eV*cm^2] [cm^2]      [eV]   [cm^-2]   [eV*cm^2]    per bin
     1.50       4.79E-18  2.92E-16    38.49  5.10E+15  1.13E-14     6477645
     2.50       7.42E-18  3.68E-16    38.38  3.61E+15  1.41E-14     6491234
     3.50       8.81E-18  4.63E-16    38.31  2.75E+15  1.77E-14     6496890
     4.50       1.10E-17  5.66E-16    38.37  2.26E+15  2.17E-14     6498502
     5.50       1.38E-17  6.70E-16    38.64  1.98E+15  2.59E-14     6460876
     6.50       1.43E-17  7.69E-16    39.16  1.80E+15  3.01E-14     6405138
     7.50       2.21E-17  8.57E-16    39.65  1.69E+15  3.40E-14     6345558
     8.50       1.75E-17  9.30E-16    39.80  1.62E+15  3.70E-14     6338366
     9.50       1.98E-17  9.85E-16    39.10  1.57E+15  3.85E-14     6432570
    10.50       2.43E-17  1.02E-15    39.20  1.56E+15  3.99E-14     6383171
    11.50       2.36E-17  1.03E-15    40.58  1.57E+15  4.19E-14     6165817
    12.50       2.12E-17  1.04E-15    41.96  1.57E+15  4.36E-14     5962706
    13.50       2.43E-17  1.04E-15    43.43  1.57E+15  4.52E-14     5761830
    14.50       2.26E-17  1.04E-15    44.89  1.56E+15  4.66E-14     5574619
    15.50       2.89E-17  1.03E-15    46.39  1.56E+15  4.79E-14     5395530
    16.50       2.88E-17  1.03E-15    47.83  1.55E+15  4.91E-14     5231822
    17.50       2.75E-17  1.02E-15    49.33  1.54E+15  5.03E-14     5073663
    18.50       2.98E-17  1.01E-15    50.81  1.54E+15  5.14E-14     4925113
    19.50       3.01E-17  1.00E-15    52.26  1.53E+15  5.25E-14     4788678
    20.50       3.34E-17  9.97E-16    53.74  1.52E+15  5.36E-14     4657234
    21.50       3.53E-17  9.91E-16    55.20  1.51E+15  5.47E-14     4533419
    22.50       3.66E-17  9.85E-16    56.70  1.50E+15  5.58E-14     4414850
    23.50       4.57E-17  9.79E-16    58.12  1.48E+15  5.69E-14     4306711
    24.50       6.89E-17  9.74E-16    59.52  1.48E+15  5.80E-14     4205067
    25.50       4.63E-17  9.70E-16    60.92  1.46E+15  5.91E-14     4108030
    26.50       4.43E-17  9.67E-16    62.28  1.45E+15  6.02E-14     4019692
    27.50       4.58E-17  9.63E-16    63.75  1.44E+15  6.14E-14     3926448
    28.50       6.42E-17  9.61E-16    65.01  1.43E+15  6.24E-14     3850405
    29.50       4.40E-17  9.59E-16    66.34  1.42E+15  6.36E-14     3773001
    30.50       5.49E-17  9.59E-16    67.60  1.41E+15  6.48E-14     3703169
    31.50       5.26E-17  9.59E-16    68.83  1.40E+15  6.60E-14     3637024
    32.50       6.99E-17  9.59E-16    70.08  1.39E+15  6.72E-14     3571832
    33.50       5.33E-17  9.60E-16    71.31  1.38E+15  6.85E-14     3511046
    34.50       5.09E-17  9.62E-16    72.53  1.36E+15  6.98E-14     3451254
    35.50       8.68E-17  9.64E-16    73.67  1.36E+15  7.10E-14     3397969
    36.50       6.11E-17  9.67E-16    74.75  1.34E+15  7.23E-14     3349199
    37.50       6.42E-17  9.71E-16    75.87  1.33E+15  7.36E-14     3299430
    38.50       8.59E-17  9.75E-16    76.99  1.32E+15  7.50E-14     3251841
    39.50       9.41E-17  9.79E-16    77.93  1.31E+15  7.63E-14     3212581
    40.50       1.18E-16  9.85E-16    78.95  1.30E+15  7.77E-14     3170894
    41.50       8.36E-17  9.90E-16    79.92  1.29E+15  7.91E-14     3132279
    42.50       7.74E-17  9.95E-16    80.74  1.27E+15  8.04E-14     3100501
    43.50       1.72E-16  1.00E-15    81.78  1.26E+15  8.19E-14     3061533
    44.50       9.13E-17  1.01E-15    82.58  1.25E+15  8.33E-14     3031628
    45.50       7.50E-17  1.02E-15    83.37  1.24E+15  8.47E-14     3002854
    46.50       9.06E-17  1.02E-15    84.16  1.23E+15  8.61E-14     2974675
    47.50       9.53E-17  1.03E-15    84.96  1.22E+15  8.76E-14     2946849
    48.50       8.40E-17  1.04E-15    85.63  1.21E+15  8.90E-14     2923631
    49.50       8.58E-17  1.05E-15    86.32  1.20E+15  9.05E-14     2900208
    50.50       8.42E-17  1.06E-15    87.15  1.19E+15  9.21E-14     2872852
    51.50       1.46E-16  1.06E-15    87.89  1.18E+15  9.34E-14     2848786
    52.50       1.18E-16  1.07E-15    88.54  1.17E+15  9.48E-14     2827503
    53.50       1.15E-16  1.08E-15    89.27  1.16E+15  9.61E-14     2804899
    54.50       2.84E-16  1.08E-15    89.78  1.15E+15  9.74E-14     2788518
    55.50       8.64E-17  1.09E-15    90.38  1.14E+15  9.87E-14     2770004
