                                SS           DS         SPEX         DPEX          Sum
 NEG         28865594            0            0            0            0     28865594
 SI          22547642     34371255      7214764     19332250      8529375     91995286
 DI            709678      7335993      3404693      4618521      3687141     19756026
 TI           2180860      4103297      2213101      4277261      3013389     15787908
 SC          38703188      8624311      1651553     10843242      4331862     64154156
 DC           1331037       838061       286127      1077412       382827      3915464
 DCAI         1549227       546284       192875       638157       261039      3187582
 TEX         11550352     23964239      5048171     14117202      6404986     61084950
 --------------------------------------------------------------------------------------
 Sum        107437578     79783440     20011284     54904045     26610619
 
                                SS           DS         SPEX         DPEX          Sum
 NEG            10.00         0.00         0.00         0.00         0.00        10.00
 SI              7.81        11.90         2.50         6.70         2.95        31.86
 DI              0.25         2.54         1.18         1.60         1.28         6.84
 TI              0.76         1.42         0.77         1.48         1.04         5.47
 SC             13.40         2.99         0.57         3.76         1.50        22.22
 DC              0.46         0.29         0.10         0.37         0.13         1.36
 DCAI            0.54         0.19         0.07         0.22         0.09         1.10
 TEX             4.00         8.30         1.75         4.89         2.22        21.16
 --------------------------------------------------------------------------------------
 Sum            37.21        27.63         6.93        19.01         9.22
