                                SS           DS         SPEX         DPEX          Sum
 SI         386565650     87509935     36924680    104617007     22109396    637726668
 DI          92585968     15252861     10124101     16693149      8224504    142880583
 TI          18937126     25273174     17056300     27493424     14740578    103500602
 DCAI         1578323       674413       318629       810007       287329      3668701
 SC         118520617     47662446     19498150     67770075     16070040    269521328
 DC           5919749     12109868      6629941     14730193      7261638     46651389
 TEX        170072482     50521527     24950206     58765792     14577144    318887151
 -------------------------------------------------------------------------------------
 Sum        794179915    239004224    115502007    290879647     83270629   1522836422
 
                                SS           DS         SPEX         DPEX          Sum
 SI             25.38         5.75         2.42         6.87         1.45        41.88
 DI              6.08         1.00         0.66         1.10         0.54         9.38
 TI              1.24         1.66         1.12         1.81         0.97         6.80
 DCAI            0.10         0.04         0.02         0.05         0.02         0.24
 SC              7.78         3.13         1.28         4.45         1.06        17.70
 DC              0.39         0.80         0.44         0.97         0.48         3.06
 TEX            11.17         3.32         1.64         3.86         0.96        20.94
 -------------------------------------------------------------------------------------
 Sum            52.15        15.69         7.58        19.10         5.47       100.00
