 E              SP        Sig       dE     dN        SP1           Ions
 Various data to calculate stopping power for input of 1 ion/cm^2/s.
 Conversion from [eV*cm^2] to [(MeV/mg)*cm^2] is 3.345e-15.
 Ion Energy     dE/dN     Sigma       dE     dN        Sigma*dE      Counts
 [keV/u]        [eV*cm^2] [cm^2]      [eV]   [cm^-2]   [eV*cm^2]    per bin
    55.50       4.73E-17  1.40E-15    70.57  8.95E+14  9.84E-14     6675144
    56.50       3.45E-17  1.40E-15    71.21  8.87E+14  1.00E-13     6614661
    57.50       4.49E-17  1.41E-15    71.89  8.78E+14  1.02E-13     6552421
    58.50       3.96E-17  1.42E-15    72.53  8.70E+14  1.03E-13     6494068
    59.50       4.15E-17  1.44E-15    73.23  8.61E+14  1.05E-13     6432551
    60.50       5.64E-17  1.45E-15    73.85  8.53E+14  1.07E-13     6378333
    61.50       6.98E-17  1.46E-15    74.51  8.45E+14  1.09E-13     6321298
    62.50       4.52E-17  1.47E-15    75.12  8.37E+14  1.10E-13     6270622
    63.50       4.82E-17  1.48E-15    75.81  8.29E+14  1.12E-13     6212727
    64.50       4.60E-17  1.49E-15    76.67  8.21E+14  1.14E-13     6143308
    65.50       5.34E-17  1.50E-15    77.42  8.13E+14  1.16E-13     6083736
    66.50       5.77E-17  1.51E-15    78.28  8.06E+14  1.18E-13     6017354
    67.50       4.88E-17  1.52E-15    79.00  7.99E+14  1.20E-13     5962453
    68.50       6.34E-17  1.53E-15    79.82  7.92E+14  1.22E-13     5901074
    69.50       9.11E-17  1.55E-15    80.59  7.83E+14  1.25E-13     5844406
    70.50       5.57E-17  1.56E-15    81.41  7.77E+14  1.27E-13     5785526
    71.50       6.65E-17  1.57E-15    82.16  7.70E+14  1.29E-13     5733313
    72.50       6.66E-17  1.58E-15    82.88  7.63E+14  1.31E-13     5682868
    73.50       6.80E-17  1.59E-15    83.66  7.56E+14  1.33E-13     5629899
    74.50       6.74E-17  1.60E-15    84.39  7.51E+14  1.35E-13     5581344
    75.50       7.17E-17  1.61E-15    84.91  7.43E+14  1.37E-13     5546971
    76.50       7.13E-17  1.63E-15    85.13  7.37E+14  1.38E-13     5532653
    77.50       5.88E-17  1.64E-15    85.45  7.30E+14  1.40E-13     5512390
    78.50       8.11E-17  1.65E-15    85.71  7.25E+14  1.41E-13     5496197
    79.50       6.16E-17  1.66E-15    85.86  7.17E+14  1.43E-13     5486027
    80.50       7.05E-17  1.67E-15    86.10  7.12E+14  1.44E-13     5470749
    81.50       7.91E-17  1.69E-15    86.36  7.07E+14  1.46E-13     5453961
    82.50       6.61E-17  1.70E-15    86.46  6.99E+14  1.47E-13     5448239
    83.50       7.22E-17  1.71E-15    86.61  6.94E+14  1.48E-13     5438566
