                                SS           DS         SPEX         DPEX          Sum
 SI         431759167     83855379     34938649    100736559     21019959    672309713
 DI         101433475     15151268      9799068     16675572      7977246    151036629
 TI          19798800     24081957     16133563     26215961     13947320    100177601
 DCAI         1505485       639894       300542       769806       268282      3484009
 SC         112464862     44677898     18245431     63512717     15030505    253931413
 DC           5617189     11350663      6216964     13795307      6806541     43786664
 TEX        190400761     47436275     23359216     55530669     13658743    330385664
 -------------------------------------------------------------------------------------
 Sum        862979739    227193334    108993433    277236591     78708596   1555111693
 
                                SS           DS         SPEX         DPEX          Sum
 SI             27.76         5.39         2.25         6.48         1.35        43.23
 DI              6.52         0.97         0.63         1.07         0.51         9.71
 TI              1.27         1.55         1.04         1.69         0.90         6.44
 DCAI            0.10         0.04         0.02         0.05         0.02         0.22
 SC              7.23         2.87         1.17         4.08         0.97        16.33
 DC              0.36         0.73         0.40         0.89         0.44         2.82
 TEX            12.24         3.05         1.50         3.57         0.88        21.25
 -------------------------------------------------------------------------------------
 Sum            55.49        14.61         7.01        17.83         5.06       100.00
