 E              SP        Sig       dE     dN        SP1           Ions
 Various data to calculate stopping power for input of 1 ion/cm^2/s.
 Conversion from [eV*cm^2] to [(MeV/mg)*cm^2] is 3.345e-15.
 Ion Energy     dE/dN     Sigma       dE     dN        Sigma*dE      Counts
 [keV/u]        [eV*cm^2] [cm^2]      [eV]   [cm^-2]   [eV*cm^2]    per bin
     1.50       3.61E-18  2.93E-16    38.48  5.10E+15  1.13E-14     6490683
     2.50       5.55E-18  3.68E-16    38.41  3.62E+15  1.41E-14     6503880
     3.50       8.50E-18  4.63E-16    38.33  2.75E+15  1.77E-14     6521502
     4.50       1.08E-17  5.66E-16    38.31  2.26E+15  2.17E-14     6520904
     5.50       1.43E-17  6.70E-16    38.55  1.98E+15  2.58E-14     6484620
     6.50       1.62E-17  7.69E-16    39.09  1.80E+15  3.00E-14     6431413
     7.50       1.71E-17  8.57E-16    39.66  1.69E+15  3.40E-14     6361726
     8.50       2.14E-17  9.29E-16    39.75  1.62E+15  3.69E-14     6353759
     9.50       1.78E-17  9.85E-16    39.04  1.57E+15  3.84E-14     6453803
    10.50       1.94E-17  1.02E-15    39.17  1.56E+15  3.99E-14     6400329
    11.50       3.35E-17  1.03E-15    40.56  1.57E+15  4.19E-14     6183190
    12.50       2.43E-17  1.04E-15    41.95  1.57E+15  4.36E-14     5976450
    13.50       6.17E-17  1.04E-15    43.42  1.56E+15  4.51E-14     5774567
    14.50       2.62E-17  1.04E-15    44.90  1.56E+15  4.65E-14     5585293
    15.50       2.96E-17  1.03E-15    46.36  1.56E+15  4.79E-14     5408395
    16.50       3.64E-17  1.03E-15    47.84  1.55E+15  4.91E-14     5242092
    17.50       2.92E-17  1.02E-15    49.33  1.54E+15  5.03E-14     5083778
    18.50       3.91E-17  1.01E-15    50.84  1.53E+15  5.14E-14     4933219
    19.50       2.92E-17  1.00E-15    52.27  1.52E+15  5.25E-14     4797738
    20.50       3.82E-17  9.97E-16    53.80  1.52E+15  5.36E-14     4662252
    21.50       3.73E-17  9.90E-16    55.19  1.51E+15  5.47E-14     4543875
    22.50       7.62E-17  9.84E-16    56.64  1.49E+15  5.57E-14     4428623
    23.50       3.87E-17  9.79E-16    58.11  1.49E+15  5.69E-14     4316635
    24.50       4.56E-17  9.75E-16    59.49  1.48E+15  5.80E-14     4216615
    25.50       3.85E-17  9.70E-16    60.90  1.46E+15  5.91E-14     4118036
    26.50       4.33E-17  9.66E-16    62.34  1.45E+15  6.02E-14     4023885
    27.50       4.56E-17  9.64E-16    63.66  1.44E+15  6.13E-14     3940364
    28.50       6.13E-17  9.61E-16    65.02  1.43E+15  6.25E-14     3857613
    29.50       9.40E-17  9.60E-16    66.37  1.42E+15  6.37E-14     3779637
    30.50       5.82E-17  9.60E-16    67.59  1.41E+15  6.49E-14     3711451
    31.50       1.20E-16  9.59E-16    68.90  1.40E+15  6.60E-14     3641028
    32.50       4.84E-17  9.59E-16    70.10  1.39E+15  6.72E-14     3578132
    33.50       6.06E-17  9.60E-16    71.36  1.38E+15  6.85E-14     3515727
    34.50       6.38E-17  9.61E-16    72.54  1.37E+15  6.97E-14     3457980
    35.50       9.69E-17  9.65E-16    73.69  1.35E+15  7.11E-14     3404426
    36.50       6.06E-17  9.67E-16    74.80  1.34E+15  7.23E-14     3353695
    37.50       5.84E-17  9.70E-16    75.84  1.33E+15  7.36E-14     3307852
    38.50       6.48E-17  9.75E-16    76.88  1.32E+15  7.49E-14     3263159
    39.50       5.56E-17  9.78E-16    77.93  1.31E+15  7.62E-14     3218922
    40.50       6.60E-17  9.84E-16    79.00  1.30E+15  7.78E-14     3175708
    41.50       6.35E-17  9.91E-16    79.91  1.28E+15  7.92E-14     3139486
    42.50       7.78E-17  9.95E-16    80.82  1.27E+15  8.04E-14     3104304
    43.50       2.35E-16  1.00E-15    81.68  1.26E+15  8.18E-14     3071148
    44.50       1.63E-16  1.01E-15    82.53  1.25E+15  8.32E-14     3039803
    45.50       7.50E-17  1.02E-15    83.36  1.24E+15  8.47E-14     3009035
    46.50       1.12E-16  1.02E-15    84.26  1.23E+15  8.62E-14     2977944
    47.50       7.37E-17  1.03E-15    84.95  1.22E+15  8.76E-14     2952829
    48.50       1.01E-16  1.04E-15    85.67  1.21E+15  8.91E-14     2929188
    49.50       1.03E-16  1.05E-15    86.37  1.20E+15  9.06E-14     2904444
    50.50       1.56E-16  1.06E-15    87.16  1.19E+15  9.20E-14     2878475
    51.50       1.04E-16  1.06E-15    87.91  1.18E+15  9.35E-14     2854114
    52.50       9.50E-17  1.07E-15    88.55  1.17E+15  9.49E-14     2833366
    53.50       1.10E-16  1.08E-15    89.24  1.16E+15  9.61E-14     2811364
    54.50       1.55E-16  1.08E-15    89.86  1.15E+15  9.74E-14     2792081
    55.50       9.51E-17  1.09E-15    90.51  1.14E+15  9.88E-14     2772036
