 E              SP        Sig       dE     dN        SP1           Ions
 Various data to calculate stopping power for input of 1 ion/cm^2/s.
 Conversion from [eV*cm^2] to [(MeV/mg)*cm^2] is 3.345e-15.
 Ion Energy     dE/dN     Sigma       dE     dN        Sigma*dE      Counts
 [keV/u]        [eV*cm^2] [cm^2]      [eV]   [cm^-2]   [eV*cm^2]    per bin
     1.50       3.92E-18  2.93E-16    38.52  5.10E+15  1.13E-14     6507977
     2.50       5.33E-18  3.68E-16    38.37  3.61E+15  1.41E-14     6527392
     3.50       7.91E-18  4.63E-16    38.30  2.75E+15  1.77E-14     6525183
     4.50       1.46E-17  5.66E-16    38.46  2.27E+15  2.18E-14     6523559
     5.50       1.42E-17  6.70E-16    38.60  1.98E+15  2.59E-14     6502766
     6.50       1.47E-17  7.69E-16    39.13  1.80E+15  3.01E-14     6438677
     7.50       1.56E-17  8.57E-16    39.68  1.69E+15  3.40E-14     6371819
     8.50       1.85E-17  9.30E-16    39.83  1.62E+15  3.70E-14     6365111
     9.50       1.65E-17  9.85E-16    39.05  1.57E+15  3.85E-14     6471561
    10.50       2.47E-17  1.02E-15    39.18  1.56E+15  3.99E-14     6418305
    11.50       2.20E-17  1.03E-15    40.54  1.57E+15  4.18E-14     6202836
    12.50       2.04E-17  1.04E-15    41.98  1.57E+15  4.36E-14     5989943
    13.50       3.31E-17  1.04E-15    43.44  1.56E+15  4.52E-14     5789556
    14.50       2.79E-17  1.04E-15    44.86  1.56E+15  4.65E-14     5606338
    15.50       2.71E-17  1.03E-15    46.40  1.56E+15  4.79E-14     5420612
    16.50       3.03E-17  1.03E-15    47.86  1.55E+15  4.91E-14     5254258
    17.50       3.41E-17  1.02E-15    49.32  1.54E+15  5.03E-14     5099673
    18.50       4.12E-17  1.01E-15    50.79  1.53E+15  5.14E-14     4951286
    19.50       4.76E-17  1.00E-15    52.30  1.53E+15  5.25E-14     4809683
    20.50       4.29E-17  9.98E-16    53.77  1.52E+15  5.36E-14     4677898
    21.50       4.12E-17  9.90E-16    55.22  1.51E+15  5.47E-14     4554695
    22.50       3.95E-17  9.85E-16    56.70  1.50E+15  5.58E-14     4436845
    23.50       5.24E-17  9.79E-16    58.08  1.49E+15  5.68E-14     4330518
    24.50       4.65E-17  9.74E-16    59.52  1.48E+15  5.80E-14     4226126
    25.50       4.38E-17  9.70E-16    60.88  1.46E+15  5.90E-14     4131823
    26.50       4.89E-17  9.66E-16    62.33  1.45E+15  6.02E-14     4036213
    27.50       4.47E-17  9.63E-16    63.67  1.44E+15  6.13E-14     3951067
    28.50       4.52E-17  9.61E-16    65.03  1.43E+15  6.25E-14     3867987
    29.50       4.88E-17  9.60E-16    66.37  1.42E+15  6.37E-14     3790601
    30.50       6.00E-17  9.59E-16    67.60  1.41E+15  6.48E-14     3721622
    31.50       5.74E-17  9.59E-16    68.88  1.40E+15  6.60E-14     3651666
    32.50       6.13E-17  9.59E-16    70.11  1.39E+15  6.73E-14     3588015
    33.50       6.04E-17  9.60E-16    71.34  1.38E+15  6.85E-14     3526638
    34.50       5.57E-17  9.62E-16    72.50  1.37E+15  6.97E-14     3469692
    35.50       5.81E-17  9.65E-16    73.61  1.35E+15  7.10E-14     3417315
    36.50       8.08E-17  9.67E-16    74.78  1.34E+15  7.23E-14     3364326
    37.50       8.81E-17  9.71E-16    75.85  1.33E+15  7.36E-14     3316650
    38.50       8.38E-17  9.75E-16    76.90  1.32E+15  7.50E-14     3271286
    39.50       5.71E-17  9.80E-16    77.90  1.31E+15  7.63E-14     3229623
    40.50       6.95E-17  9.84E-16    78.93  1.30E+15  7.76E-14     3187667
    41.50       7.44E-17  9.89E-16    79.86  1.29E+15  7.90E-14     3150173
    42.50       9.30E-17  9.96E-16    80.82  1.27E+15  8.05E-14     3113070
    43.50       8.39E-17  1.00E-15    81.68  1.26E+15  8.17E-14     3080035
    44.50       1.44E-16  1.01E-15    82.59  1.25E+15  8.33E-14     3046038
    45.50       1.04E-16  1.02E-15    83.43  1.24E+15  8.49E-14     3015881
    46.50       1.55E-16  1.02E-15    84.18  1.23E+15  8.61E-14     2988828
    47.50       1.14E-16  1.03E-15    84.95  1.22E+15  8.76E-14     2961593
    48.50       8.19E-17  1.04E-15    85.67  1.21E+15  8.90E-14     2936955
    49.50       8.64E-17  1.05E-15    86.32  1.20E+15  9.06E-14     2914605
    50.50       1.01E-16  1.06E-15    87.11  1.19E+15  9.20E-14     2888270
    51.50       1.10E-16  1.06E-15    87.95  1.18E+15  9.34E-14     2860819
    52.50       1.23E-16  1.07E-15    88.54  1.17E+15  9.48E-14     2841893
    53.50       9.12E-17  1.08E-15    89.29  1.16E+15  9.61E-14     2817974
    54.50       8.55E-17  1.08E-15    89.82  1.15E+15  9.74E-14     2801097
    55.50       9.81E-17  1.09E-15    90.42  1.14E+15  9.87E-14     2782747
