 E              SP        Sig       dE     dN        SP1           Ions
 Various data to calculate stopping power for input of 1 ion/cm^2/s.
 Conversion from [eV*cm^2] to [(MeV/mg)*cm^2] is 3.345e-15.
 Ion Energy     dE/dN     Sigma       dE     dN        Sigma*dE      Counts
 [keV/u]        [eV*cm^2] [cm^2]      [eV]   [cm^-2]   [eV*cm^2]    per bin
     1.50       4.54E-18  2.93E-16    38.43  5.10E+15  1.13E-14     6517479
     2.50       5.90E-18  3.68E-16    38.38  3.61E+15  1.41E-14     6522502
     3.50       8.12E-18  4.63E-16    38.39  2.75E+15  1.78E-14     6528559
     4.50       9.12E-18  5.66E-16    38.40  2.27E+15  2.17E-14     6526868
     5.50       1.56E-17  6.70E-16    38.74  1.98E+15  2.60E-14     6494051
     6.50       2.64E-17  7.69E-16    39.16  1.80E+15  3.01E-14     6450028
     7.50       1.77E-17  8.57E-16    39.60  1.69E+15  3.39E-14     6390318
     8.50       1.87E-17  9.29E-16    39.81  1.62E+15  3.70E-14     6375276
     9.50       2.44E-17  9.85E-16    39.08  1.57E+15  3.85E-14     6472280
    10.50       2.26E-17  1.02E-15    39.19  1.56E+15  3.99E-14     6424844
    11.50       1.93E-17  1.03E-15    40.55  1.57E+15  4.18E-14     6208115
    12.50       2.49E-17  1.04E-15    41.99  1.57E+15  4.36E-14     5995939
    13.50       3.11E-17  1.04E-15    43.40  1.57E+15  4.52E-14     5801763
    14.50       2.50E-17  1.04E-15    44.90  1.56E+15  4.66E-14     5606861
    15.50       2.73E-17  1.03E-15    46.36  1.56E+15  4.79E-14     5431205
    16.50       3.89E-17  1.03E-15    47.85  1.55E+15  4.91E-14     5262229
    17.50       3.44E-17  1.02E-15    49.33  1.54E+15  5.03E-14     5103725
    18.50       3.20E-17  1.01E-15    50.77  1.53E+15  5.14E-14     4959763
    19.50       3.16E-17  1.00E-15    52.29  1.53E+15  5.25E-14     4814968
    20.50       5.68E-17  9.97E-16    53.76  1.51E+15  5.36E-14     4683807
    21.50       4.40E-17  9.91E-16    55.23  1.51E+15  5.47E-14     4559468
    22.50       7.43E-17  9.84E-16    56.66  1.49E+15  5.58E-14     4444854
    23.50       3.76E-17  9.80E-16    58.10  1.48E+15  5.69E-14     4334042
    24.50       3.98E-17  9.74E-16    59.53  1.48E+15  5.80E-14     4230167
    25.50       4.37E-17  9.71E-16    60.97  1.46E+15  5.92E-14     4130444
    26.50       4.53E-17  9.66E-16    62.33  1.45E+15  6.02E-14     4040278
    27.50       6.05E-17  9.63E-16    63.66  1.44E+15  6.13E-14     3956096
    28.50       5.14E-17  9.61E-16    64.99  1.43E+15  6.25E-14     3875265
    29.50       5.51E-17  9.60E-16    66.34  1.42E+15  6.37E-14     3796933
    30.50       4.74E-17  9.59E-16    67.54  1.41E+15  6.48E-14     3728757
    31.50       4.30E-17  9.59E-16    68.87  1.40E+15  6.60E-14     3656722
    32.50       7.88E-17  9.59E-16    70.11  1.39E+15  6.72E-14     3592697
    33.50       4.73E-17  9.59E-16    71.34  1.38E+15  6.84E-14     3530340
    34.50       1.10E-16  9.61E-16    72.48  1.36E+15  6.97E-14     3475077
    35.50       8.47E-17  9.64E-16    73.64  1.36E+15  7.10E-14     3420334
    36.50       5.97E-17  9.67E-16    74.81  1.34E+15  7.24E-14     3366598
    37.50       5.50E-17  9.71E-16    75.92  1.33E+15  7.37E-14     3317656
    38.50       6.09E-17  9.74E-16    76.97  1.32E+15  7.50E-14     3272729
    39.50       6.18E-17  9.78E-16    77.90  1.31E+15  7.62E-14     3232922
    40.50       7.93E-17  9.84E-16    78.95  1.30E+15  7.77E-14     3190341
    41.50       7.69E-17  9.89E-16    79.82  1.29E+15  7.90E-14     3155310
    42.50       8.61E-17  9.96E-16    80.86  1.27E+15  8.05E-14     3115086
    43.50       5.85E-17  1.00E-15    81.71  1.26E+15  8.19E-14     3082620
    44.50       7.58E-17  1.01E-15    82.59  1.25E+15  8.33E-14     3050224
    45.50       8.67E-17  1.02E-15    83.35  1.24E+15  8.47E-14     3022005
    46.50       7.69E-17  1.02E-15    84.14  1.23E+15  8.61E-14     2993503
    47.50       7.69E-17  1.03E-15    84.94  1.22E+15  8.76E-14     2965608
    48.50       1.14E-16  1.04E-15    85.65  1.21E+15  8.91E-14     2940824
    49.50       9.56E-17  1.05E-15    86.27  1.20E+15  9.04E-14     2919651
    50.50       8.35E-17  1.05E-15    87.06  1.19E+15  9.18E-14     2893040
    51.50       1.33E-16  1.06E-15    87.82  1.18E+15  9.34E-14     2868392
    52.50       1.19E-16  1.07E-15    88.53  1.17E+15  9.46E-14     2845529
    53.50       9.17E-17  1.08E-15    89.26  1.16E+15  9.62E-14     2822025
    54.50       1.93E-16  1.08E-15    89.93  1.15E+15  9.75E-14     2800793
    55.50       8.64E-17  1.09E-15    90.48  1.14E+15  9.87E-14     2784333
