   Energy Bin:  Energy [keV/u]:  JEDI Intensity:  Energy Bin Width:  Normalized Flux:
    170.660            5             41.6422              69.84         18273.988
    240.265            8             56.6112              80.16         28511.009
    330.970           10             46.4920             186.22         54398.147
    612.705           19            130.2641             269.31        220427.185
    869.600           27             83.0590             568.65        296763.072
   1750.000           55             21.8943            1395.20        191932.356
   3660.000          114              2.2264            2830.00         39588.257
   7410.000          232              0.3058            4465.00          8578.397
 Interpolated Sulfur Values
   Energy Bin:  Energy [keV/u]:  JEDI Intensity:  Energy Bin Width:  Normalized Flux:
    135.620            4             34.0004               8.26          1764.004
    152.135            5             37.6020              17.52          4139.283
    170.660            5             41.6422              16.88          4416.852
    185.897            6             44.9651              15.92          4496.870
    202.494            6             48.5532              17.34          5289.226
    220.572            7             52.4276              18.89          6221.196
    240.265            8             56.6112              19.86          7064.582
    260.295            8             53.8916              20.86          7064.914
    281.994            9             51.3027              22.60          7286.188
    305.502           10             48.8381              24.49          7514.392
    330.970           10             46.4920              40.28         11766.140
    386.060           12             60.1506              59.67         22553.158
    450.319           14             77.8218              69.61         34035.706
    525.274           16            100.6846              81.19         51364.394
    612.705           19            130.2641              71.74         58718.673
    668.757           21            116.4033              58.62         42870.834
    729.937           23            104.0174              63.98         41813.786
    796.714           25             92.9493              69.83         40782.801
    869.600           27             83.0590             119.51         62369.865
   1035.736           32             59.5145             182.01         68059.597
   1233.613           39             42.6441             216.78         58083.831
   1469.293           46             30.5559             258.19         49570.253
   1750.000           55             21.8943             317.60         43691.462
   2104.499           66             12.3637             390.41         30328.032
   2530.810           79              6.9818             469.49         20595.486
   3043.479           95              3.9426             564.59         13986.204
   3660.000          114              2.2264             661.17          9248.938
   4365.815          136              1.3553             773.87          6590.226
   5207.744          163              0.8251             923.11          4785.593
   6212.035          194              0.5023            1101.13          3475.132
   7410.000          232              0.3058            1198.05          2301.758
   8608.136          269              0.1092            1295.00           888.831
  10000.000          313              0.0390             695.93           170.640
 Total number of sulfur ions:   733308.84585799172     
