   Energy Bin:  Energy [keV/u]:  JEDI Intensity:  Energy Bin Width:  Normalized Flux:
    170.660            5              0.0904              69.84            39.692
    240.265            8              0.0254              80.16            12.794
    330.970           10              0.0688             186.22            80.455
    612.705           19              0.0117             269.31            19.850
    869.600           27              0.0079             568.65            28.112
   1750.000           55              0.0048            1395.20            42.471
   3660.000          114              0.0021            2830.00            37.976
   7410.000          232              0.0009            4465.00            26.130
 Total number of sulfur ions:   287.48023451328129     

 Interpolated Sulfur Values
   Energy Bin:  Energy [keV/u]:  JEDI Intensity:  Energy Bin Width:  Normalized Flux:
    135.620            4              0.1470               8.26             7.628
    152.135            5              0.1204              17.52            13.250
    170.660            5              0.0904              16.88             9.594
    185.897            6              0.0658              15.92             6.585
    202.494            6              0.0479              17.34             5.222
    220.572            7              0.0349              18.89             4.141
    240.265            8              0.0254              19.86             3.170
    260.295            8              0.0326              20.86             4.272
    281.994            9              0.0418              22.60             5.936
    305.502           10              0.0536              24.49             8.248
    330.970           10              0.0688              40.28            17.402
    386.060           12              0.0442              59.67            16.570
    450.319           14              0.0284              69.61            12.421
    525.274           16              0.0183              81.19             9.312
    612.705           19              0.0117              71.74             5.288
    668.757           21              0.0106              58.62             3.910
    729.937           23              0.0096              63.98             3.862
    796.714           25              0.0087              69.83             3.815
    869.600           27              0.0079             119.51             5.908
   1035.736           32              0.0070             182.01             7.970
   1233.613           39              0.0062             216.78             8.409
   1469.293           46              0.0055             258.19             8.873
   1750.000           55              0.0048             317.60             9.668
   2104.499           66              0.0039             390.41             9.684
   2530.810           79              0.0032             469.49             9.489
   3043.479           95              0.0026             564.59             9.298
   3660.000          114              0.0021             661.17             8.872
   4365.815          136              0.0017             773.87             8.439
   5207.744          163              0.0014             923.11             8.180
   6212.035          194              0.0011            1101.13             7.930
   7410.000          232              0.0009            1198.05             7.011
   8608.136          269              0.0008            1295.00             6.353
  10000.000          313              0.0007             695.93             2.862
 Total number of sulfur ions:   259.57221899981977     
