  244.551  3.756E-06
  255.105  6.635E-05
  256.577  1.452E-03
  263.280  9.275E-03
  267.173  5.399E-02
  267.243  1.867E-01
  273.999  1.299E-02
  283.438  5.564E-03
  293.941  4.640E-03
  308.119  1.767E+00
  315.579  2.169E-01
  319.115  7.884E+00
  323.566  8.402E+00
  329.055  8.157E+00
  330.537  5.024E-02
  330.951  4.062E+00
  339.576  1.019E+00
  341.132  9.508E-01
  342.846  9.508E-01
  343.237  1.085E-02
  344.841  4.272E+00
  346.392  2.104E-01
  351.840  1.118E+01
  353.740  9.980E-04
  358.306  1.699E+00
  362.433  1.170E+00
  366.492  2.804E-02
  377.138  3.693E-05
  378.701  1.430E+00
  388.787  9.064E-04
  399.305  4.034E-04
  413.143  2.130E-03
  423.733  1.061E-03
  424.207  3.166E+00
  427.974  1.054E-03
  438.503  2.859E+00
  438.649  2.109E-05
  444.627  3.407E-01
  461.079  6.520E-01
  484.031  2.773E+00
  507.716  4.589E-01
  522.479  4.621E-01
