                                SS           DS         SPEX         DPEX          Sum
 SI           2033301     13485056      6689984     14285859      3644128     40138328
 DI           2411723       737315       611463       741253       455256      4957010
 TI             56389      2572008      2055634      2650543      1885952      9220526
 DCAI            3872         8487         4850         9116         5665        31990
 SC          25485145     11182851      4233827     18005298      4510464     63417585
 DC           2076721      3240090      1145800      4586954      1969959     13019524
 TEX          1416937     16471923     10771630     17321219      6768348     52750057
 -------------------------------------------------------------------------------------
 Sum         33484088     47697730     25513188     57600242     19239772    183535020
 
                                SS           DS         SPEX         DPEX          Sum
 SI              1.11         7.35         3.65         7.78         1.99        21.87
 DI              1.31         0.40         0.33         0.40         0.25         2.70
 TI              0.03         1.40         1.12         1.44         1.03         5.02
 DCAI            0.00         0.00         0.00         0.00         0.00         0.02
 SC             13.89         6.09         2.31         9.81         2.46        34.55
 DC              1.13         1.77         0.62         2.50         1.07         7.09
 TEX             0.77         8.97         5.87         9.44         3.69        28.74
 -------------------------------------------------------------------------------------
 Sum            18.24        25.99        13.90        31.38        10.48       100.00
