 E              SP        Sig       dE     dN        SP1           Ions
 Various data to calculate stopping power for input of 1 ion/cm^2/s.
 Conversion from [eV*cm^2] to [(MeV/mg)*cm^2] is 3.345e-15.
 Ion Energy     dE/dN     Sigma       dE     dN        Sigma*dE      Counts
 [keV/u]        [eV*cm^2] [cm^2]      [eV]   [cm^-2]   [eV*cm^2]    per bin
     1.50       4.28E-18  2.93E-16    38.42  5.10E+15  1.12E-14     6527489
     2.50       6.04E-18  3.68E-16    38.37  3.61E+15  1.41E-14     6534559
     3.50       9.15E-18  4.63E-16    38.33  2.75E+15  1.77E-14     6541340
     4.50       1.04E-17  5.66E-16    38.33  2.27E+15  2.17E-14     6549413
     5.50       1.44E-17  6.70E-16    38.56  1.98E+15  2.58E-14     6517972
     6.50       1.39E-17  7.69E-16    39.10  1.80E+15  3.01E-14     6453930
     7.50       1.57E-17  8.57E-16    39.65  1.69E+15  3.40E-14     6395507
     8.50       1.71E-17  9.30E-16    39.79  1.62E+15  3.70E-14     6374279
     9.50       1.71E-17  9.85E-16    39.06  1.58E+15  3.85E-14     6479408
    10.50       3.02E-17  1.02E-15    39.16  1.56E+15  3.99E-14     6431392
    11.50       2.43E-17  1.03E-15    40.57  1.56E+15  4.19E-14     6209419
    12.50       2.17E-17  1.04E-15    41.97  1.57E+15  4.36E-14     6000749
    13.50       3.14E-17  1.04E-15    43.46  1.57E+15  4.52E-14     5796717
    14.50       3.36E-17  1.04E-15    44.90  1.56E+15  4.66E-14     5610969
    15.50       3.04E-17  1.03E-15    46.36  1.56E+15  4.79E-14     5433395
    16.50       2.74E-17  1.03E-15    47.84  1.55E+15  4.91E-14     5265468
    17.50       4.77E-17  1.02E-15    49.33  1.54E+15  5.03E-14     5107411
    18.50       2.86E-17  1.01E-15    50.83  1.53E+15  5.14E-14     4956624
    19.50       3.00E-17  1.00E-15    52.30  1.53E+15  5.25E-14     4816824
    20.50       3.69E-17  9.98E-16    53.77  1.51E+15  5.37E-14     4685915
    21.50       4.01E-17  9.91E-16    55.20  1.51E+15  5.47E-14     4564332
    22.50       4.43E-17  9.85E-16    56.64  1.50E+15  5.58E-14     4448231
    23.50       4.38E-17  9.79E-16    58.09  1.48E+15  5.69E-14     4337630
    24.50       8.82E-17  9.74E-16    59.48  1.48E+15  5.79E-14     4235885
    25.50       3.71E-17  9.70E-16    60.92  1.46E+15  5.91E-14     4135991
    26.50       6.41E-17  9.66E-16    62.30  1.45E+15  6.02E-14     4044501
    27.50       5.54E-17  9.63E-16    63.67  1.44E+15  6.13E-14     3956882
    28.50       5.39E-17  9.61E-16    65.01  1.43E+15  6.25E-14     3876291
    29.50       4.32E-17  9.59E-16    66.30  1.42E+15  6.36E-14     3800215
    30.50       5.25E-17  9.58E-16    67.62  1.41E+15  6.48E-14     3726222
    31.50       5.01E-17  9.58E-16    68.85  1.40E+15  6.60E-14     3660181
    32.50       5.57E-17  9.59E-16    70.14  1.39E+15  6.73E-14     3592516
    33.50       5.32E-17  9.60E-16    71.33  1.38E+15  6.85E-14     3533052
    34.50       6.75E-17  9.62E-16    72.48  1.36E+15  6.97E-14     3476733
    35.50       1.09E-16  9.64E-16    73.68  1.35E+15  7.10E-14     3419993
    36.50       5.48E-17  9.67E-16    74.76  1.34E+15  7.23E-14     3370531
    37.50       5.92E-17  9.71E-16    75.88  1.33E+15  7.37E-14     3321313
    38.50       6.42E-17  9.74E-16    76.94  1.32E+15  7.49E-14     3275406
    39.50       6.85E-17  9.78E-16    77.93  1.31E+15  7.63E-14     3233294
    40.50       6.53E-17  9.84E-16    78.89  1.30E+15  7.77E-14     3194654
    41.50       6.79E-17  9.90E-16    79.86  1.28E+15  7.91E-14     3155580
    42.50       1.14E-16  9.95E-16    80.82  1.27E+15  8.04E-14     3118331
    43.50       1.03E-16  1.00E-15    81.73  1.26E+15  8.19E-14     3083186
    44.50       7.36E-17  1.01E-15    82.64  1.25E+15  8.34E-14     3049957
    45.50       8.17E-17  1.02E-15    83.39  1.24E+15  8.47E-14     3022092
    46.50       9.92E-17  1.02E-15    84.16  1.23E+15  8.61E-14     2994567
    47.50       6.99E-17  1.03E-15    84.90  1.22E+15  8.76E-14     2968490
    48.50       8.73E-17  1.04E-15    85.71  1.21E+15  8.91E-14     2940424
    49.50       1.45E-16  1.05E-15    86.32  1.20E+15  9.06E-14     2919325
    50.50       1.61E-16  1.06E-15    87.23  1.19E+15  9.21E-14     2889178
    51.50       1.23E-16  1.06E-15    87.93  1.18E+15  9.36E-14     2866262
    52.50       7.55E-17  1.07E-15    88.56  1.17E+15  9.48E-14     2845874
    53.50       9.54E-17  1.08E-15    89.20  1.16E+15  9.61E-14     2825258
    54.50       1.27E-16  1.08E-15    89.82  1.15E+15  9.74E-14     2806218
    55.50       9.76E-17  1.09E-15    90.54  1.14E+15  9.88E-14     2783511
