 E              SP        Sig       dE     dN        SP1           Ions
 Various data to calculate stopping power for input of 1 ion/cm^2/s.
 Conversion from [eV*cm^2] to [(MeV/mg)*cm^2] is 3.345e-15.
 Ion Energy     dE/dN     Sigma       dE     dN        Sigma*dE      Counts
 [keV/u]        [eV*cm^2] [cm^2]      [eV]   [cm^-2]   [eV*cm^2]    per bin
    56.50       9.39E-17  1.10E-15    91.16  1.14E+15  1.00E-13     2748550
    57.50       1.40E-16  1.11E-15    91.69  1.12E+15  1.01E-13     2732451
    58.50       1.01E-16  1.11E-15    92.35  1.12E+15  1.03E-13     2712804
    59.50       1.82E-16  1.12E-15    92.84  1.11E+15  1.04E-13     2698614
    60.50       9.39E-17  1.13E-15    93.33  1.10E+15  1.05E-13     2684282
    61.50       9.10E-17  1.14E-15    93.83  1.09E+15  1.07E-13     2670453
    62.50       1.16E-16  1.15E-15    94.31  1.08E+15  1.08E-13     2656459
    63.50       1.20E-16  1.15E-15    94.88  1.07E+15  1.09E-13     2640495
    64.50       1.19E-16  1.16E-15    95.28  1.07E+15  1.11E-13     2629581
    65.50       1.20E-16  1.17E-15    95.74  1.06E+15  1.12E-13     2616728
    66.50       1.63E-16  1.18E-15    96.15  1.05E+15  1.13E-13     2606057
    67.50       1.18E-16  1.19E-15    96.49  1.04E+15  1.15E-13     2596534
    68.50       1.38E-16  1.20E-15    96.79  1.03E+15  1.16E-13     2588613
    69.50       1.16E-16  1.21E-15    97.10  1.03E+15  1.17E-13     2580033
    70.50       1.14E-16  1.22E-15    97.57  1.02E+15  1.19E-13     2567810
    71.50       1.32E-16  1.23E-15    97.94  1.01E+15  1.20E-13     2558392
    72.50       1.32E-16  1.24E-15    98.07  1.00E+15  1.21E-13     2554504
    73.50       1.15E-16  1.25E-15    98.29  9.92E+14  1.23E-13     2549301
    74.50       1.60E-16  1.26E-15    98.50  9.84E+14  1.24E-13     2543831
    75.50       1.55E-16  1.27E-15    98.73  9.74E+14  1.25E-13     2537915
    76.50       1.35E-16  1.28E-15    98.69  9.63E+14  1.27E-13     2538574
    77.50       1.38E-16  1.30E-15    98.69  9.54E+14  1.28E-13     2538646
    78.50       2.38E-16  1.31E-15    98.80  9.44E+14  1.30E-13     2536184
    79.50       1.32E-16  1.33E-15    98.73  9.34E+14  1.31E-13     2538121
    80.50       1.60E-16  1.34E-15    98.64  9.24E+14  1.32E-13     2540023
    81.50       1.73E-16  1.36E-15    98.48  9.13E+14  1.34E-13     2544672
    82.50       1.16E-16  1.37E-15    98.40  9.03E+14  1.35E-13     2546054
    83.50       1.37E-16  1.39E-15    98.33  8.93E+14  1.37E-13     2548511
    84.50       2.03E-16  1.40E-15    98.14  8.83E+14  1.38E-13     2552970
    85.50       1.93E-16  1.42E-15    98.17  8.73E+14  1.39E-13     2552375
    86.50       1.86E-16  1.43E-15    97.95  8.64E+14  1.40E-13     2558311
    87.50       1.33E-16  1.45E-15    97.73  8.50E+14  1.42E-13     2563845
    88.50       1.42E-16  1.47E-15    97.63  8.42E+14  1.44E-13     2566345
    89.50       1.86E-16  1.49E-15    97.38  8.30E+14  1.45E-13     2573282
    90.50       1.72E-16  1.51E-15    97.31  8.21E+14  1.47E-13     2575149
    91.50       1.37E-16  1.52E-15    96.99  8.10E+14  1.48E-13     2583489
    92.50       1.43E-16  1.54E-15    96.75  8.00E+14  1.49E-13     2590241
    93.50       1.85E-16  1.56E-15    96.71  7.91E+14  1.51E-13     2590861
    94.50       1.76E-16  1.58E-15    96.40  7.79E+14  1.52E-13     2599441
    95.50       1.59E-16  1.60E-15    96.07  7.72E+14  1.53E-13     2608254
