                                SS           DS         SPEX         DPEX          Sum
 NEG         26857366            0            0            0            0     26857366
 SI           3359814     24285373      3890905      9830658      4276124     45642874
 DI             22378      4108380      1359648      1728420      1378395      8597221
 TI            258709      1305525       652734      1371905      1010939      4599812
 SC          23700181      5319517       882924      7124789      2890170     39917581
 DC            868789       384095        83402       581757       138489      2056532
 DCAI          377828       163542        52946       211707        73807       879830
 TEX          2155206     19410639      3762690      9854665      4694845     39878045
 --------------------------------------------------------------------------------------
 Sum         57600271     54977071     10685249     30703901     14462769
 
                                SS           DS         SPEX         DPEX          Sum
 NEG            15.95         0.00         0.00         0.00         0.00        15.95
 SI              1.99        14.42         2.31         5.84         2.54        27.10
 DI              0.01         2.44         0.81         1.03         0.82         5.10
 TI              0.15         0.78         0.39         0.81         0.60         2.73
 SC             14.07         3.16         0.52         4.23         1.72        23.70
 DC              0.52         0.23         0.05         0.35         0.08         1.22
 DCAI            0.22         0.10         0.03         0.13         0.04         0.52
 TEX             1.28        11.52         2.23         5.85         2.79        23.68
 --------------------------------------------------------------------------------------
 Sum            34.20        32.64         6.34        18.23         8.59
