                                SS           DS         SPEX         DPEX          Sum
 NEG         28879623            0            0            0            0     28879623
 SI         132731945     43567560     10129335     29502626     12399731    228331197
 DI          10599458     11867871      5863532      9427975      6565959     44324795
 TI           8854496      7640813      3955241      8037034      5120672     33608256
 SC          50011019     10266631      2111808     12716638      4983221     80089317
 DC           1553214      1199915       484634      1454573       626624      5318960
 DCAI         2939252      1012871       356766      1147322       474977      5931188
 TEX         52814499     26334035      5716889     16816832      7321158    109003413
 --------------------------------------------------------------------------------------
 Sum        288383506    101889696     28618205     79103000     37492342
 
                                SS           DS         SPEX         DPEX          Sum
 NEG             5.39         0.00         0.00         0.00         0.00         5.39
 SI             24.79         8.14         1.89         5.51         2.32        42.64
 DI              1.98         2.22         1.09         1.76         1.23         8.28
 TI              1.65         1.43         0.74         1.50         0.96         6.28
 SC              9.34         1.92         0.39         2.37         0.93        14.96
 DC              0.29         0.22         0.09         0.27         0.12         0.99
 DCAI            0.55         0.19         0.07         0.21         0.09         1.11
 TEX             9.86         4.92         1.07         3.14         1.37        20.36
 --------------------------------------------------------------------------------------
 Sum            53.85        19.03         5.34        14.77         7.00
