 E              SP        Sig       dE     dN        SP1           Ions
 Various data to calculate stopping power for input of 1 ion/cm^2/s.
 Conversion from [eV*cm^2] to [(MeV/mg)*cm^2] is 3.345e-15.
 Ion Energy     dE/dN     Sigma       dE     dN        Sigma*dE      Counts
 [keV/u]        [eV*cm^2] [cm^2]      [eV]   [cm^-2]   [eV*cm^2]    per bin
     1.50       3.62E-18  2.93E-16    38.44  5.10E+15  1.12E-14     6505843
     2.50       5.44E-18  3.68E-16    38.43  3.61E+15  1.41E-14     6518017
     3.50       7.23E-18  4.63E-16    38.33  2.75E+15  1.77E-14     6531964
     4.50       1.05E-17  5.65E-16    38.34  2.27E+15  2.17E-14     6520737
     5.50       1.78E-17  6.70E-16    38.63  1.98E+15  2.59E-14     6500175
     6.50       1.24E-17  7.69E-16    39.09  1.80E+15  3.01E-14     6439928
     7.50       1.57E-17  8.57E-16    39.70  1.69E+15  3.40E-14     6371553
     8.50       2.08E-17  9.29E-16    39.80  1.62E+15  3.70E-14     6367272
     9.50       1.87E-17  9.85E-16    39.09  1.57E+15  3.85E-14     6464243
    10.50       2.32E-17  1.02E-15    39.18  1.56E+15  3.99E-14     6414311
    11.50       3.19E-17  1.03E-15    40.55  1.57E+15  4.18E-14     6199207
    12.50       2.26E-17  1.04E-15    41.96  1.57E+15  4.36E-14     5992053
    13.50       2.64E-17  1.04E-15    43.43  1.57E+15  4.52E-14     5787894
    14.50       2.43E-17  1.04E-15    44.88  1.56E+15  4.66E-14     5602115
    15.50       2.85E-17  1.03E-15    46.36  1.56E+15  4.79E-14     5422380
    16.50       4.25E-17  1.03E-15    47.86  1.55E+15  4.91E-14     5253075
    17.50       4.61E-17  1.02E-15    49.33  1.54E+15  5.03E-14     5096734
    18.50       3.24E-17  1.01E-15    50.79  1.53E+15  5.14E-14     4950843
    19.50       2.92E-17  1.00E-15    52.29  1.52E+15  5.25E-14     4808459
    20.50       3.33E-17  9.98E-16    53.71  1.52E+15  5.36E-14     4681146
    21.50       4.94E-17  9.90E-16    55.24  1.51E+15  5.47E-14     4552294
    22.50       3.55E-17  9.85E-16    56.62  1.50E+15  5.57E-14     4441564
    23.50       4.57E-17  9.79E-16    58.08  1.49E+15  5.69E-14     4329334
    24.50       4.37E-17  9.74E-16    59.53  1.48E+15  5.80E-14     4224104
    25.50       3.87E-17  9.69E-16    60.91  1.46E+15  5.91E-14     4128131
    26.50       4.00E-17  9.66E-16    62.30  1.46E+15  6.02E-14     4036611
    27.50       4.49E-17  9.62E-16    63.67  1.44E+15  6.13E-14     3949972
    28.50       4.94E-17  9.60E-16    64.98  1.43E+15  6.24E-14     3869696
    29.50       4.46E-17  9.60E-16    66.38  1.42E+15  6.37E-14     3788936
    30.50       4.63E-17  9.59E-16    67.62  1.41E+15  6.48E-14     3718973
    31.50       6.63E-17  9.58E-16    68.83  1.40E+15  6.59E-14     3653472
    32.50       5.21E-17  9.59E-16    70.14  1.39E+15  6.73E-14     3585396
    33.50       5.38E-17  9.60E-16    71.30  1.38E+15  6.85E-14     3526888
    34.50       5.18E-17  9.61E-16    72.51  1.37E+15  6.97E-14     3468643
    35.50       6.15E-17  9.63E-16    73.55  1.36E+15  7.09E-14     3419230
    36.50       7.06E-17  9.67E-16    74.75  1.34E+15  7.23E-14     3364790
    37.50       6.28E-17  9.72E-16    75.83  1.33E+15  7.37E-14     3316873
    38.50       7.98E-17  9.73E-16    76.91  1.32E+15  7.49E-14     3269505
    39.50       1.13E-16  9.79E-16    77.96  1.31E+15  7.63E-14     3226128
    40.50       8.33E-17  9.84E-16    78.95  1.30E+15  7.77E-14     3185677
    41.50       7.67E-17  9.89E-16    79.89  1.29E+15  7.90E-14     3148270
    42.50       7.09E-17  9.96E-16    80.82  1.28E+15  8.05E-14     3112092
    43.50       8.57E-17  1.00E-15    81.69  1.26E+15  8.19E-14     3078976
    44.50       8.10E-17  1.01E-15    82.53  1.25E+15  8.33E-14     3047594
    45.50       6.99E-17  1.02E-15    83.43  1.24E+15  8.48E-14     3014652
    46.50       7.01E-17  1.02E-15    84.22  1.23E+15  8.62E-14     2986733
    47.50       7.79E-17  1.03E-15    84.98  1.22E+15  8.77E-14     2959887
    48.50       8.80E-17  1.04E-15    85.66  1.21E+15  8.91E-14     2936270
    49.50       9.48E-17  1.05E-15    86.39  1.20E+15  9.06E-14     2911443
    50.50       8.42E-17  1.05E-15    87.23  1.19E+15  9.20E-14     2883415
    51.50       1.06E-16  1.06E-15    87.83  1.18E+15  9.34E-14     2863625
    52.50       1.08E-16  1.07E-15    88.51  1.17E+15  9.47E-14     2841869
    53.50       9.39E-17  1.08E-15    89.24  1.16E+15  9.61E-14     2818544
    54.50       1.01E-16  1.08E-15    89.78  1.15E+15  9.74E-14     2801515
    55.50       1.21E-16  1.09E-15    90.45  1.14E+15  9.88E-14     2780433
