                                SS           DS         SPEX         DPEX          Sum
 SI           1241142      1474505       632682      1609338       243328      5200995
 DI            119463        34438        29452        35061        14580       232994
 TI              3060        35695        30705        36092        31507       137059
 DCAI              24           72           55           58           50          259
 SC           3837070       811744       330729      1053532       438820      6471895
 DC            388611       256088        48978       371906       188993      1254576
 TEX            14311      1657028      1359270      1671728       648431      5350768
 -------------------------------------------------------------------------------------
 Sum          5603681      4269570      2431871      4777715      1565709     18648546
 
                                SS           DS         SPEX         DPEX          Sum
 SI              6.66         7.91         3.39         8.63         1.30        27.89
 DI              0.64         0.18         0.16         0.19         0.08         1.25
 TI              0.02         0.19         0.16         0.19         0.17         0.73
 DCAI            0.00         0.00         0.00         0.00         0.00         0.00
 SC             20.58         4.35         1.77         5.65         2.35        34.70
 DC              2.08         1.37         0.26         1.99         1.01         6.73
 TEX             0.08         8.89         7.29         8.96         3.48        28.69
 -------------------------------------------------------------------------------------
 Sum            30.05        22.89        13.04        25.62         8.40       100.00
