 E              SP        Sig       dE     dN        SP1           Ions
 Various data to calculate stopping power for input of 1 ion/cm^2/s.
 Conversion from [eV*cm^2] to [(MeV/mg)*cm^2] is 3.345e-15.
 Ion Energy     dE/dN     Sigma       dE     dN        Sigma*dE      Counts
 [keV/u]        [eV*cm^2] [cm^2]      [eV]   [cm^-2]   [eV*cm^2]    per bin
     1.50       3.81E-18  2.93E-16    38.45  5.10E+15  1.13E-14     6490800
     2.50       6.57E-18  3.68E-16    38.40  3.61E+15  1.41E-14     6497766
     3.50       8.20E-18  4.63E-16    38.29  2.75E+15  1.77E-14     6507372
     4.50       1.09E-17  5.66E-16    38.39  2.27E+15  2.17E-14     6504199
     5.50       2.11E-17  6.70E-16    38.64  1.98E+15  2.59E-14     6476075
     6.50       1.47E-17  7.69E-16    39.08  1.80E+15  3.00E-14     6416225
     7.50       1.65E-17  8.57E-16    39.75  1.69E+15  3.41E-14     6346314
     8.50       4.20E-17  9.29E-16    39.78  1.62E+15  3.70E-14     6346772
     9.50       2.35E-17  9.85E-16    39.09  1.57E+15  3.85E-14     6443168
    10.50       2.32E-17  1.02E-15    39.19  1.56E+15  3.99E-14     6392541
    11.50       2.30E-17  1.03E-15    40.57  1.57E+15  4.19E-14     6177336
    12.50       2.26E-17  1.04E-15    41.97  1.57E+15  4.36E-14     5970012
    13.50       4.33E-17  1.04E-15    43.43  1.56E+15  4.52E-14     5769671
    14.50       5.84E-17  1.04E-15    44.90  1.56E+15  4.66E-14     5581403
    15.50       2.47E-17  1.03E-15    46.34  1.56E+15  4.78E-14     5407714
    16.50       4.01E-17  1.03E-15    47.84  1.55E+15  4.91E-14     5239264
    17.50       2.62E-17  1.02E-15    49.31  1.54E+15  5.03E-14     5081871
    18.50       3.37E-17  1.01E-15    50.80  1.53E+15  5.14E-14     4933689
    19.50       3.53E-17  1.00E-15    52.30  1.52E+15  5.25E-14     4792230
    20.50       3.46E-17  9.97E-16    53.78  1.52E+15  5.36E-14     4660765
    21.50       3.89E-17  9.90E-16    55.23  1.51E+15  5.47E-14     4537689
    22.50       4.48E-17  9.85E-16    56.68  1.50E+15  5.59E-14     4421977
    23.50       4.83E-17  9.78E-16    58.08  1.49E+15  5.68E-14     4315040
    24.50       4.20E-17  9.74E-16    59.49  1.48E+15  5.80E-14     4212958
    25.50       4.06E-17  9.70E-16    60.98  1.46E+15  5.92E-14     4110255
    26.50       4.34E-17  9.66E-16    62.31  1.45E+15  6.02E-14     4022849
    27.50       6.61E-17  9.63E-16    63.70  1.44E+15  6.14E-14     3935007
    28.50       5.16E-17  9.61E-16    65.00  1.43E+15  6.25E-14     3856072
    29.50       4.98E-17  9.60E-16    66.35  1.42E+15  6.37E-14     3778167
    30.50       7.34E-17  9.59E-16    67.55  1.41E+15  6.48E-14     3710974
    31.50       6.49E-17  9.59E-16    68.84  1.40E+15  6.60E-14     3641511
    32.50       4.76E-17  9.59E-16    70.05  1.39E+15  6.72E-14     3578275
    33.50       6.92E-17  9.60E-16    71.30  1.38E+15  6.85E-14     3516362
    34.50       5.90E-17  9.62E-16    72.53  1.37E+15  6.98E-14     3456267
    35.50       6.50E-17  9.65E-16    73.63  1.35E+15  7.10E-14     3404561
    36.50       5.91E-17  9.67E-16    74.78  1.34E+15  7.23E-14     3352294
    37.50       5.63E-17  9.71E-16    75.89  1.33E+15  7.37E-14     3304037
    38.50       1.01E-16  9.76E-16    76.95  1.32E+15  7.51E-14     3257753
    39.50       7.96E-17  9.79E-16    77.94  1.31E+15  7.63E-14     3216476
    40.50       7.04E-17  9.84E-16    78.94  1.30E+15  7.76E-14     3175869
    41.50       9.56E-17  9.90E-16    79.88  1.28E+15  7.91E-14     3138610
    42.50       7.91E-17  9.95E-16    80.86  1.28E+15  8.05E-14     3100657
    43.50       7.51E-17  1.00E-15    81.68  1.26E+15  8.18E-14     3069194
    44.50       6.70E-17  1.01E-15    82.45  1.25E+15  8.32E-14     3041082
    45.50       7.14E-17  1.02E-15    83.36  1.24E+15  8.47E-14     3007419
    46.50       1.06E-16  1.02E-15    84.25  1.23E+15  8.61E-14     2975846
    47.50       7.45E-17  1.03E-15    84.95  1.22E+15  8.76E-14     2951412
    48.50       8.83E-17  1.04E-15    85.71  1.21E+15  8.91E-14     2925111
    49.50       1.09E-16  1.05E-15    86.39  1.20E+15  9.06E-14     2901582
    50.50       1.14E-16  1.06E-15    87.15  1.19E+15  9.21E-14     2877245
    51.50       1.13E-16  1.06E-15    87.84  1.18E+15  9.34E-14     2854260
    52.50       9.89E-17  1.07E-15    88.55  1.17E+15  9.48E-14     2831317
    53.50       1.18E-16  1.08E-15    89.26  1.16E+15  9.62E-14     2809065
    54.50       1.78E-16  1.08E-15    89.97  1.15E+15  9.75E-14     2786803
    55.50       8.57E-17  1.09E-15    90.56  1.14E+15  9.89E-14     2768513
