                                SS           DS         SPEX         DPEX          Sum
 NEG         28720768            0            0            0            0     28720768
 SI          15405040     32412781      6550089     17302456      7547306     79217672
 DI            376474      6587966      2924679      3886270      3109588     16884977
 TI           1518282      3436787      1834567      3590756      2533950     12914342
 SC          35858024      8079555      1507901     10252349      4070669     59768498
 DC           1257501       740985       238496       976797       321625      3535404
 DCAI         1256812       450245       159526       539853       214001      2620437
 TEX          8461165     23252568      4841650     13376033      6083281     56014697
 --------------------------------------------------------------------------------------
 Sum         92854066     74960887     18056908     49924514     23880420
 
                                SS           DS         SPEX         DPEX          Sum
 NEG            11.06         0.00         0.00         0.00         0.00        11.06
 SI              5.93        12.48         2.52         6.66         2.91        30.51
 DI              0.14         2.54         1.13         1.50         1.20         6.50
 TI              0.58         1.32         0.71         1.38         0.98         4.97
 SC             13.81         3.11         0.58         3.95         1.57        23.02
 DC              0.48         0.29         0.09         0.38         0.12         1.36
 DCAI            0.48         0.17         0.06         0.21         0.08         1.01
 TEX             3.26         8.95         1.86         5.15         2.34        21.57
 --------------------------------------------------------------------------------------
 Sum            35.76        28.87         6.95        19.23         9.20
