Photon Energy [eV]   Photons/Ion   Normalized Photons/Ion
     216.624          2.900E-05          6.705E-04
     217.343          2.147E-04          4.963E-03
     217.381          2.862E-06          6.617E-05
     217.817          7.329E-07          1.694E-05
     218.016          9.189E-04          2.124E-02
     219.260          2.867E-05          6.629E-04
     220.780          1.984E-04          4.587E-03
     221.054          8.223E-06          1.901E-04
     225.012          6.789E-05          1.570E-03
     254.364          1.441E-05          3.332E-04
     254.780          1.205E-04          2.786E-03
     255.093          1.326E-06          3.066E-05
     255.221          3.686E-07          8.522E-06
     255.445          3.696E-04          8.544E-03
     257.403          1.324E-05          3.060E-04
     258.240          8.773E-05          2.028E-03
     258.458          4.590E-06          1.061E-04
     262.733          3.529E-05          8.158E-04
     277.090          1.052E-05          2.433E-04
     277.778          2.449E-07          5.663E-06
     277.805          8.428E-07          1.948E-05
     280.333          8.823E-06          2.040E-04
     281.015          3.247E-06          7.508E-05
     285.449          2.392E-05          5.531E-04
     291.827          1.075E-05          2.485E-04
     292.420          1.735E-07          4.011E-06
     292.533          5.890E-07          1.362E-05
     295.183          8.423E-06          1.947E-04
     295.657          2.412E-06          5.577E-05
     300.180          1.733E-05          4.007E-04
     301.923          5.226E-06          1.208E-04
     302.458          1.042E-07          2.410E-06
     302.623          3.498E-07          8.088E-06
     305.347          4.052E-06          9.368E-05
     305.695          1.483E-06          3.429E-05
     309.141          4.707E-06          1.088E-04
     309.639          9.488E-08          2.194E-06
     309.837          3.130E-07          7.236E-06
     310.272          1.060E-05          2.452E-04
     312.608          3.499E-06          8.091E-05
     312.876          1.380E-06          3.191E-05
     317.487          9.693E-06          2.241E-04
     414.675          4.073E-06          9.417E-05
     419.328          2.193E-04          5.070E-03
     422.185          3.535E-05          8.172E-04
     422.198          1.456E-03          3.366E-02
     422.511          2.955E-03          6.831E-02
     428.053          4.369E-04          1.010E-02
     431.967          1.292E-05          2.986E-04
     433.110          1.553E-06          3.591E-05
     434.689          1.724E-04          3.987E-03
     435.283          5.944E-03          1.374E-01
     435.763          8.223E-05          1.901E-03
     436.294          3.199E-04          7.395E-03
     449.827          1.280E-03          2.960E-02
     453.519          6.859E-07          1.586E-05
     570.346          8.303E-05          1.920E-03
     571.727          1.067E-03          2.468E-02
     581.523          1.013E-04          2.342E-03
     584.383          4.584E-05          1.060E-03
     584.393          1.660E-03          3.839E-02
     600.691          4.544E-04          1.051E-02
     639.922          4.259E-05          9.847E-04
     640.642          5.829E-04          1.348E-02
     652.054          4.180E-05          9.664E-04
     653.215          2.530E-05          5.849E-04
     653.361          5.721E-04          1.323E-02
     670.250          2.127E-04          4.918E-03
     677.662          2.165E-05          5.004E-04
     678.079          3.242E-04          7.496E-03
     690.197          1.956E-05          4.522E-04
     690.619          1.395E-05          3.226E-04
     690.821          2.478E-04          5.728E-03
     700.388          1.599E-05          3.697E-04
     707.971          1.096E-04          2.534E-03
     713.127          1.323E-05          3.058E-04
     713.176          9.882E-06          2.285E-04
     715.125          1.645E-05          3.802E-04
     725.221          8.043E-06          1.860E-04
     727.818          7.285E-06          1.684E-04
     727.977          1.271E-05          2.938E-04
     730.687          7.394E-05          1.709E-03
     732.439          7.236E-06          1.673E-04
     737.856          4.491E-06          1.038E-04
     738.141          6.151E-06          1.422E-04
     745.037          4.153E-06          9.602E-05
     745.402          5.302E-06          1.226E-04
     745.418          5.369E-05          1.241E-03
     755.510          3.277E-05          7.577E-04
     762.725          2.991E-05          6.916E-04
    2445.940          1.079E-02          2.494E-01
    2459.720          7.980E-03          1.845E-01
    2878.970          2.163E-04          5.001E-03
    2882.780          1.478E-03          3.417E-02
    3032.510          7.114E-04          1.645E-02
    3101.340          3.870E-04          8.948E-03
    3138.750          2.117E-04          4.895E-03
    3161.300          1.489E-04          3.442E-03
    3175.940          1.099E-04          2.541E-03
    3185.980          6.768E-05          1.565E-03
    3193.160          6.263E-05          1.448E-03
