Photon Energy [eV]   Photons/Ion   Normalized Photons/Ion
     206.284          2.504E-05          1.303E-06
     213.362          1.436E-06          7.476E-08
     213.383          7.367E-07          3.835E-08
     214.913          1.921E-09          1.000E-10
     216.224          2.880E-05          1.499E-06
     229.134          4.631E-04          2.411E-05
     238.179          3.198E-03          1.665E-04
     238.858          3.464E-03          1.803E-04
     254.858          4.447E-02          2.315E-03
     269.490          1.181E+00          6.147E-02
     274.269          3.898E-01          2.029E-02
     277.170          9.914E-01          5.161E-02
     281.795          1.585E-01          8.253E-03
     282.425          1.280E+00          6.663E-02
     287.352          1.686E+00          8.775E-02
     288.678          6.755E-01          3.516E-02
     289.510          2.055E-01          1.070E-02
     289.629          3.709E-01          1.931E-02
     292.816          3.684E-01          1.918E-02
     294.464          1.189E-04          6.190E-06
     295.376          1.242E+00          6.463E-02
     296.407          2.090E+00          1.088E-01
     298.802          1.387E+00          7.221E-02
     300.153          2.198E-06          1.144E-07
     303.092          1.442E-01          7.506E-03
     304.577          3.846E-01          2.002E-02
     305.635          2.588E-01          1.347E-02
     312.169          1.588E+00          8.266E-02
     312.712          1.501E-01          7.811E-03
     312.733          1.522E-02          7.924E-04
     313.313          2.992E-01          1.558E-02
     315.180          1.062E-01          5.528E-03
     316.723          3.760E-01          1.957E-02
     317.511          2.230E+00          1.161E-01
     326.803          5.543E-02          2.885E-03
     328.235          3.724E-01          1.939E-02
     334.481          8.807E-04          4.584E-05
     337.528          3.285E-01          1.710E-02
     338.209          3.271E-01          1.703E-02
     393.813          3.301E-01          1.718E-02
     399.254          1.657E-01          8.625E-03
