Photon Energy [eV]   Photons/Ion   Normalized Photons/Ion
     244.551          7.689E-07          8.208E-08
     255.105          1.358E-05          1.450E-06
     256.577          2.973E-04          3.173E-05
     263.280          1.899E-03          2.027E-04
     267.173          1.105E-02          1.180E-03
     267.243          3.823E-02          4.081E-03
     273.999          2.661E-03          2.840E-04
     283.438          1.139E-03          1.216E-04
     293.941          9.502E-04          1.014E-04
     308.119          3.617E-01          3.861E-02
     315.579          4.441E-02          4.741E-03
     319.115          5.297E-01          5.655E-02
     323.566          6.357E-01          6.787E-02
     329.055          5.857E-01          6.253E-02
     330.537          1.029E-02          1.098E-03
     330.951          8.315E-01          8.877E-02
     339.576          2.087E-01          2.228E-02
     341.132          1.947E-01          2.078E-02
     342.846          1.947E-01          2.078E-02
     343.237          2.222E-03          2.372E-04
     344.841          8.746E-01          9.337E-02
     346.392          4.308E-02          4.599E-03
     351.840          1.714E+00          1.830E-01
     353.740          2.043E-04          2.181E-05
     358.306          3.478E-01          3.713E-02
     362.433          2.396E-01          2.558E-02
     366.492          5.740E-03          6.128E-04
     377.138          7.561E-06          8.071E-07
     378.701          2.927E-01          3.125E-02
     388.787          1.856E-04          1.981E-05
     399.305          8.258E-05          8.816E-06
     413.143          4.361E-04          4.656E-05
     423.733          2.172E-04          2.319E-05
     424.207          6.482E-01          6.920E-02
     427.974          2.158E-04          2.303E-05
     438.503          5.854E-01          6.249E-02
     438.649          4.318E-06          4.610E-07
     444.627          6.974E-02          7.445E-03
     461.079          1.334E-01          1.425E-02
     484.031          5.676E-01          6.060E-02
     507.716          9.395E-02          1.003E-02
     522.479          9.457E-02          1.010E-02
