Photon Energy [eV]   Photons/Ion   Normalized Photons/Ion
     203.976          1.005E-01          8.053E-03
     203.976          1.133E-02          9.079E-04
     203.976          1.621E-02          1.299E-03
     206.830          1.156E-02          9.262E-04
     206.830          6.978E-03          5.590E-04
     206.830          7.595E-02          6.085E-03
     208.871          6.237E-03          4.996E-04
     208.871          8.851E-03          7.091E-04
     208.871          5.952E-02          4.768E-03
     652.723          7.928E+00          6.351E-01
     773.598          2.208E+00          1.769E-01
     815.904          9.176E-01          7.351E-02
     835.486          4.433E-01          3.551E-02
     846.123          2.657E-01          2.128E-02
     852.536          1.717E-01          1.376E-02
     856.699          1.113E-01          8.917E-03
     859.553          7.926E-02          6.349E-03
     861.595          6.062E-02          4.856E-03
