Photon Energy [eV]   Photons/Ion   Normalized Photons/Ion
     246.595          2.958E-01          9.112E-03
     251.858          2.734E-01          8.422E-03
     252.334          5.181E-01          1.596E-02
     257.477          5.406E-01          1.665E-02
     259.470          8.150E-01          2.511E-02
     268.138          7.308E+00          2.251E-01
     273.793          7.896E+00          2.433E-01
     279.077          2.063E-01          6.354E-03
     279.173          3.086E+00          9.507E-02
     280.528          7.886E-01          2.430E-02
     284.703          1.882E-01          5.797E-03
     286.583          1.182E+00          3.641E-02
     288.657          4.671E+00          1.439E-01
     291.675          3.116E+00          9.600E-02
     295.166          5.185E-01          1.598E-02
     299.790          5.362E-01          1.652E-02
     361.365          5.194E-01          1.600E-02
