Photon Energy [eV]   Photons/Ion   Normalized Photons/Ion
     295.046          6.282E-04          5.219E-05
     311.463          1.535E-02          1.275E-03
     319.372          3.731E-01          3.099E-02
     322.724          4.609E-02          3.828E-03
     329.763          2.249E-01          1.868E-02
     339.144          1.105E-01          9.182E-03
     340.158          1.881E-01          1.563E-02
     340.201          2.959E-01          2.458E-02
     346.799          4.762E-01          3.956E-02
     347.616          7.445E-01          6.184E-02
     347.926          1.455E+00          1.208E-01
     355.622          9.295E-01          7.721E-02
     356.574          9.996E-03          8.303E-04
     357.025          6.019E-01          5.000E-02
     358.622          1.971E-01          1.638E-02
     363.398          1.449E-01          1.204E-02
     365.744          1.115E+00          9.258E-02
     372.773          2.600E-01          2.160E-02
     377.989          7.502E-02          6.232E-03
     384.543          3.502E-01          2.909E-02
     388.130          1.347E+00          1.119E-01
     390.638          4.567E-01          3.794E-02
     392.024          4.680E-01          3.887E-02
     412.223          2.406E-02          1.998E-03
     414.594          2.379E-03          1.976E-04
     429.650          8.079E-03          6.711E-04
     430.995          2.297E-04          1.908E-05
     435.475          3.940E-03          3.273E-04
     437.867          6.028E-04          5.008E-05
     459.558          4.313E-01          3.583E-02
     461.749          7.283E-02          6.050E-03
     465.441          1.316E-01          1.093E-02
     470.231          9.879E-02          8.206E-03
     470.976          2.482E-02          2.061E-03
     473.573          2.303E-02          1.913E-03
     480.699          5.657E-02          4.699E-03
     486.957          9.443E-03          7.844E-04
     487.053          9.220E-02          7.659E-03
     489.921          1.358E-03          1.128E-04
     504.083          6.050E-02          5.026E-03
     506.886          2.150E-01          1.786E-02
     508.383          1.977E-02          1.643E-03
     511.359          3.945E-01          3.277E-02
     511.718          1.578E-05          1.310E-06
     523.140          7.465E-02          6.201E-03
     532.990          4.082E-01          3.391E-02
    2591.200          2.131E-05          1.770E-06
