Photon Energy [eV]   Photons/Ion   Normalized Photons/Ion
     200.184          3.218E-02          4.083E-03
     222.061          1.203E-03          1.526E-04
     222.500          2.560E-01          3.249E-02
     223.920          5.507E-03          6.988E-04
     225.590          5.653E-02          7.175E-03
     233.141          1.933E-02          2.453E-03
     241.905          6.841E-04          8.682E-05
     242.157          1.420E-01          1.802E-02
     244.232          3.678E-03          4.668E-04
     245.255          3.564E-02          4.523E-03
     253.003          1.184E-02          1.503E-03
     254.762          4.197E-04          5.326E-05
     254.902          8.367E-02          1.062E-02
     257.362          1.976E-03          2.508E-04
     258.014          2.082E-02          2.642E-03
     263.572          2.868E-04          3.640E-05
     263.684          4.853E-02          6.159E-03
     265.861          7.616E-03          9.665E-04
     266.347          1.545E-03          1.960E-04
     266.767          1.553E-02          1.970E-03
     269.883          1.913E-04          2.427E-05
     269.942          3.378E-02          4.288E-03
     272.763          8.724E-04          1.107E-04
     273.033          1.173E-02          1.489E-03
     274.666          5.363E-03          6.806E-04
     280.984          3.656E-03          4.640E-04
     370.492          2.037E-01          2.586E-02
     381.257          3.839E+00          4.872E-01
     407.173          8.493E-01          1.078E-01
     506.784          4.624E-02          5.868E-03
     511.136          8.782E-01          1.115E-01
     538.710          2.402E-01          3.048E-02
     569.128          1.987E-02          2.521E-03
     571.182          3.365E-01          4.271E-02
     599.392          1.020E-01          1.294E-02
     602.305          8.764E-03          1.112E-03
     603.821          1.601E-01          2.031E-02
     622.725          5.949E-03          7.550E-04
     623.351          1.001E-01          1.271E-02
     632.411          6.020E-02          7.640E-03
     635.818          3.230E-03          4.099E-04
     636.144          5.825E-02          7.392E-03
     644.745          2.541E-03          3.224E-04
     644.968          4.333E-02          5.499E-03
     651.179          3.268E-02          4.147E-03
     651.179          1.442E-03          1.830E-04
     652.205          3.667E-02          4.654E-03
     665.151          2.349E-02          2.981E-03
     673.827          1.653E-02          2.097E-03
     680.111          1.125E-02          1.428E-03
